iri	iri label	location	location label
MONDO:0002829	Bartholin's gland carcinoma	UBERON:0000460	major vestibular gland
MONDO:0018017	Goblet cell carcinoma	CL:0000160	goblet cell
MONDO:0003975	Littre gland carcinoma	UBERON:0010186	male urethral gland
MONDO:0004173	Skene gland carcinoma	UBERON:0010145	paraurethral gland
MONDO:0004965	acinar cell carcinoma	CL:0000622	acinar cell
MONDO:0002814	adrenal carcinoma	UBERON:0002369	adrenal gland
MONDO:0004202	adrenal medulla carcinoma	UBERON:0001236	adrenal medulla
MONDO:0007108	anal canal carcinoma	UBERON:0000159	anal canal
MONDO:0003199	anal carcinoma	UBERON:0001245	anus
MONDO:0002941	anal margin carcinoma	UBERON:0012336	perianal skin
MONDO:0003196	appendix carcinoma	UBERON:0001154	vermiform appendix
MONDO:0005496	bile duct carcinoma	UBERON:0002394	bile duct
MONDO:0004986	bladder carcinoma (disease)	UBERON:0001255	urinary bladder
MONDO:0002415	bone carcinoma	UBERON:0001474	bone element
MONDO:0004989	breast carcinoma	UBERON:0000310	breast
MONDO:0000552	breast lobular carcinoma	UBERON:0001912	lobule of mammary gland
MONDO:0002806	bronchus carcinoma	UBERON:0002185	bronchus
MONDO:0019086	carcinoma of esophagus	UBERON:0001043	esophagus
MONDO:0017590	carcinoma of the ampulla of vater	UBERON:0004913	hepatopancreatic ampulla
MONDO:0006029	cecum carcinoma	UBERON:0001153	caecum
MONDO:0005131	cervical carcinoma	UBERON:0000002	uterine cervix
MONDO:0005207	choriocarcinoma (disease)	UBERON:0003124	chorion
MONDO:0005220	collecting duct carcinoma	UBERON:0001232	collecting duct of renal tubule
MONDO:0002032	colon carcinoma	UBERON:0001155	colon
MONDO:0019210	cutaneous neuroendocrine carcinoma	CL:0000242	Merkel cell
MONDO:0004259	endocervical carcinoma	UBERON:0000458	endocervix
MONDO:0002447	endometrial carcinoma (disease)	UBERON:0001295	endometrium
MONDO:0002455	exocervical carcinoma	UBERON:0012249	ectocervix
MONDO:0005192	exocrine pancreatic carcinoma	UBERON:0000017	exocrine pancreas
MONDO:0002944	external ear carcinoma	UBERON:0001691	external ear
MONDO:0003090	extrahepatic bile duct carcinoma	UBERON:0003703	extrahepatic bile duct
MONDO:0002466	eye carcinoma	UBERON:0000970	eye
MONDO:0003876	eyelid carcinoma	UBERON:0001711	eyelid
MONDO:0006206	fallopian tube carcinoma	UBERON:0003889	fallopian tube
MONDO:0003220	gallbladder carcinoma	UBERON:0002110	gall bladder
MONDO:0003972	gastric body carcinoma	UBERON:0001161	body of stomach
MONDO:0004950	gastric carcinoma	UBERON:0000945	stomach
MONDO:0003834	gastric cardia carcinoma	UBERON:0001162	cardia of stomach
MONDO:0003970	gastric fundus carcinoma	UBERON:0001160	fundus of stomach
MONDO:0002355	glottis carcinoma	UBERON:0002486	glottis
MONDO:0002038	head and neck carcinoma	UBERON:0000974	neck
MONDO:0005216	hypopharyngeal carcinoma	UBERON:0001051	hypopharynx
MONDO:0001602	labia minora carcinoma	UBERON:0004014	labium minora
MONDO:0002463	lacrimal gland carcinoma	UBERON:0001817	lacrimal gland
MONDO:0002358	laryngeal carcinoma	UBERON:0001737	larynx
MONDO:0004018	liver carcinoma	UBERON:0002107	liver
MONDO:0005138	lung carcinoma	UBERON:0002048	lung
MONDO:0006284	major salivary gland carcinoma	UBERON:0001829	major salivary gland
MONDO:0005628	male breast carcinoma	UBERON:0016410	male breast
MONDO:0015277	medullary thyroid gland carcinoma	CL:0000570	parafollicular cell
MONDO:0003190	middle ear carcinoma	UBERON:0001756	middle ear
MONDO:0004957	mucinous adenocarcinoma	GO:0070701	mucus layer
MONDO:0003212	nasal cavity carcinoma	UBERON:0001707	nasal cavity
MONDO:0015459	nasopharyngeal carcinoma	UBERON:0001728	nasopharynx
MONDO:0003950	nipple carcinoma	UBERON:0002030	nipple
MONDO:0005140	ovarian carcinoma	UBERON:0000992	ovary
