iri,iri label,location,location label
MONDO:0000261,adenoiditis,UBERON:0001732,pharyngeal tonsil
MONDO:0015304,arachnoiditis,UBERON:0002362,arachnoid mater
MONDO:0005578,arthritis,UBERON:0000982,skeletal joint
MONDO:0000409,chorioamnionitis,UBERON:0005630,fetal membrane
MONDO:0002406,dermatitis,UBERON:0000014,zone of skin
MONDO:0000918,endometritis,UBERON:0001295,endometrium
MONDO:0000888,gastrointestinal mucositis,UBERON:0004786,gastrointestinal system mucosa
MONDO:0001873,geniculate ganglionitis,UBERON:0001700,geniculate ganglion
MONDO:0021156,hypophysitis,UBERON:0000007,pituitary gland
MONDO:0002052,lymphadenitis (disease),UBERON:0000029,lymph node
MONDO:0006849,mastitis,UBERON:0000310,breast
MONDO:0000748,mastoiditis (disease),UBERON:0011220,mastoid process of temporal bone
MONDO:0021108,meningitis (disease),UBERON:0002360,meninx
MONDO:0001040,nasopharyngitis,UBERON:0001728,nasopharynx
MONDO:0000958,neuroretinitis,UBERON:0000966,retina
MONDO:0006882,orchitis (disease),UBERON:0000473,testis
MONDO:0005076,periodontitis,UBERON:0001758,periodontium
MONDO:0001109,petrositis,UBERON:0001694,petrous part of temporal bone
MONDO:0002258,pharyngitis,UBERON:0000341,throat
MONDO:0006918,posterior uveitis,UBERON:0019207,chorioretinal region
MONDO:0000497,pyometritis,UBERON:0001296,myometrium
MONDO:0003014,rhinitis,UBERON:0001826,nasal cavity mucosa
MONDO:0003619,salpingitis,UBERON:0003889,fallopian tube
MONDO:0004855,tenosynovitis,UBERON:0000304,tendon sheath
MONDO:0004126,thyroiditis (disease),UBERON:0002046,thyroid gland
MONDO:0001039,tonsillitis,UBERON:0002372,tonsil
MONDO:0020283,uveitis (disease),UBERON:0001768,uvea
MONDO:0000739,uvulitis,UBERON:0001734,palatine uvula
