iri	iri label	disease	disease label
http://purl.obolibrary.org/obo/MONDO_0016169	chronic acquired demyelinating polyneuropathy	http://purl.obolibrary.org/obo/MONDO_0015923	acquired peripheral neuropathy
http://purl.obolibrary.org/obo/MONDO_0001251	chronic apical periodontitis	http://purl.obolibrary.org/obo/MONDO_0004508	periapical periodontitis
http://purl.obolibrary.org/obo/MONDO_0005607	chronic bronchitis	http://purl.obolibrary.org/obo/MONDO_0003781	bronchitis
http://purl.obolibrary.org/obo/MONDO_0004924	chronic canaliculitis	http://purl.obolibrary.org/obo/MONDO_0005631	actinomycosis
http://purl.obolibrary.org/obo/MONDO_0002030	chronic cervicitis	http://purl.obolibrary.org/obo/MONDO_0002345	cervicitis (disease)
http://purl.obolibrary.org/obo/MONDO_0004786	chronic cholangitis	http://purl.obolibrary.org/obo/MONDO_0004789	cholangitis
http://purl.obolibrary.org/obo/MONDO_0001966	chronic closed-angle glaucoma	http://purl.obolibrary.org/obo/MONDO_0001744	angle-closure glaucoma
http://purl.obolibrary.org/obo/MONDO_0001367	chronic congestive splenomegaly	http://purl.obolibrary.org/obo/MONDO_0037251	congestive splenomegaly
http://purl.obolibrary.org/obo/MONDO_0002314	chronic conjunctivitis	http://purl.obolibrary.org/obo/MONDO_0003799	conjunctivitis (disease)
http://purl.obolibrary.org/obo/MONDO_0015574	chronic cutaneous lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0005282	cutaneous lupus erythematosus
http://purl.obolibrary.org/obo/MONDO_0006030	chronic cystitis	http://purl.obolibrary.org/obo/MONDO_0006032	cystitis
http://purl.obolibrary.org/obo/MONDO_0004800	chronic dacryoadenitis	http://purl.obolibrary.org/obo/MONDO_0004804	dacryoadenitis
http://purl.obolibrary.org/obo/MONDO_0004925	chronic dacryocystitis	http://purl.obolibrary.org/obo/MONDO_0004926	dacryocystitis
http://purl.obolibrary.org/obo/MONDO_0044751	chronic diarrheal disease	http://purl.obolibrary.org/obo/MONDO_0001673	diarrheal disease
http://purl.obolibrary.org/obo/MONDO_0020069	chronic encephalitis	http://purl.obolibrary.org/obo/MONDO_0019956	encephalitis
http://purl.obolibrary.org/obo/MONDO_0024279	chronic endometritis	http://purl.obolibrary.org/obo/MONDO_0000918	endometritis
http://purl.obolibrary.org/obo/MONDO_0017203	chronic endophthalmitis	http://purl.obolibrary.org/obo/MONDO_0016047	endophthalmitis
http://purl.obolibrary.org/obo/MONDO_0004806	chronic eosinophilic pneumonia	http://purl.obolibrary.org/obo/MONDO_0005749	eosinophilic pneumonia
http://purl.obolibrary.org/obo/MONDO_0004757	chronic ethmoidal sinusitis	http://purl.obolibrary.org/obo/MONDO_0005756	ethmoid sinusitis
http://purl.obolibrary.org/obo/MONDO_0002170	chronic eustachian salpingitis	http://purl.obolibrary.org/obo/MONDO_0002172	otosalpingitis
http://purl.obolibrary.org/obo/MONDO_0001120	chronic frontal sinusitis	http://purl.obolibrary.org/obo/MONDO_0001121	frontal sinusitis
http://purl.obolibrary.org/obo/MONDO_0001052	chronic fungal otitis externa	http://purl.obolibrary.org/obo/MONDO_0000262	otomycosis
http://purl.obolibrary.org/obo/MONDO_0005001	chronic gastritis (disease)	http://purl.obolibrary.org/obo/MONDO_0004966	gastritis (disease)
http://purl.obolibrary.org/obo/MONDO_0020782	chronic gingivitis	http://purl.obolibrary.org/obo/MONDO_0002508	gingivitis
http://purl.obolibrary.org/obo/MONDO_0001575	chronic gonococcal salpingitis	http://purl.obolibrary.org/obo/MONDO_0021159	gonococcal salpingitis
http://purl.obolibrary.org/obo/MONDO_0002029	chronic gonorrhea of cervix	http://purl.obolibrary.org/obo/MONDO_0021157	gonococcal cervicitis
http://purl.obolibrary.org/obo/MONDO_0020547	chronic graft versus host disease	http://purl.obolibrary.org/obo/MONDO_0013730	graft versus host disease
http://purl.obolibrary.org/obo/MONDO_0019800	chronic hepatic porphyria	http://purl.obolibrary.org/obo/MONDO_0002520	acute hepatic porphyria
http://purl.obolibrary.org/obo/MONDO_0005366	chronic hepatitis B	http://purl.obolibrary.org/obo/MONDO_0005344	hepatitis B
http://purl.obolibrary.org/obo/MONDO_0005354	chronic hepatitis C	http://purl.obolibrary.org/obo/MONDO_0005231	hepatitis C
http://purl.obolibrary.org/obo/MONDO_0044212	chronic idiopathic urticaria	http://purl.obolibrary.org/obo/MONDO_0044211	idiopathic urticaria
http://purl.obolibrary.org/obo/MONDO_0017574	chronic intestinal pseudoobstruction	http://purl.obolibrary.org/obo/MONDO_0002803	intestinal pseudo-obstruction
http://purl.obolibrary.org/obo/MONDO_0005300	chronic kidney disease	http://purl.obolibrary.org/obo/MONDO_0005240	kidney disease
http://purl.obolibrary.org/obo/MONDO_0001369	chronic laryngitis	http://purl.obolibrary.org/obo/MONDO_0002647	laryngitis
http://purl.obolibrary.org/obo/MONDO_0001014	chronic leukemia	http://purl.obolibrary.org/obo/MONDO_0005059	leukemia (disease)
http://purl.obolibrary.org/obo/MONDO_0001122	chronic maxillary sinusitis	http://purl.obolibrary.org/obo/MONDO_0005842	maxillary sinusitis
http://purl.obolibrary.org/obo/MONDO_0001007	chronic meningitis	http://purl.obolibrary.org/obo/MONDO_0021108	meningitis (disease)
http://purl.obolibrary.org/obo/MONDO_0004614	chronic monocytic leukemia	http://purl.obolibrary.org/obo/MONDO_0004600	monocytic leukemia
http://purl.obolibrary.org/obo/MONDO_0021206	chronic non-suppurative otitis media	http://purl.obolibrary.org/obo/MONDO_0001212	non-suppurative otitis media
http://purl.obolibrary.org/obo/MONDO_0005002	chronic obstructive pulmonary disease	http://purl.obolibrary.org/obo/MONDO_0002267	obstructive lung disease
http://purl.obolibrary.org/obo/MONDO_0021204	chronic otitis media	http://purl.obolibrary.org/obo/MONDO_0005441	otitis media (disease)
http://purl.obolibrary.org/obo/MONDO_0024317	chronic pain syndrome	http://purl.obolibrary.org/obo/MONDO_0021668	disorder involving pain
http://purl.obolibrary.org/obo/MONDO_0005003	chronic pancreatitis	http://purl.obolibrary.org/obo/MONDO_0004982	pancreatitis
http://purl.obolibrary.org/obo/MONDO_0001917	chronic perichondritis of pinna	http://purl.obolibrary.org/obo/MONDO_0002246	perichondritis of auricle
http://purl.obolibrary.org/obo/MONDO_0005593	chronic periodontitis	http://purl.obolibrary.org/obo/MONDO_0005076	periodontitis
http://purl.obolibrary.org/obo/MONDO_0003335	chronic polyneuropathy	http://purl.obolibrary.org/obo/MONDO_0001824	polyneuropathy
http://purl.obolibrary.org/obo/MONDO_0016170	chronic polyradiculoneuropathy	http://purl.obolibrary.org/obo/MONDO_0006915	polyradiculoneuropathy
http://purl.obolibrary.org/obo/MONDO_0015129	chronic primary adrenal insufficiency	http://purl.obolibrary.org/obo/MONDO_0015128	primary adrenal insufficiency
http://purl.obolibrary.org/obo/MONDO_0022103	chronic prostatitis	http://purl.obolibrary.org/obo/MONDO_0005280	prostatitis (disease)
http://purl.obolibrary.org/obo/MONDO_0001920	chronic purulent otitis media	http://purl.obolibrary.org/obo/MONDO_0005975	suppurative otitis media
http://purl.obolibrary.org/obo/MONDO_0001110	chronic pyelonephritis	http://purl.obolibrary.org/obo/MONDO_0006939	pyelonephritis
http://purl.obolibrary.org/obo/MONDO_0001184	chronic rapidly progressive glomerulonephritis	http://purl.obolibrary.org/obo/MONDO_0017236	rapidly progressive glomerulonephritis
http://purl.obolibrary.org/obo/MONDO_0024327	chronic renal failure syndrome	http://purl.obolibrary.org/obo/MONDO_0001106	kidney failure
http://purl.obolibrary.org/obo/MONDO_0002133	chronic rheumatic pericarditis	http://purl.obolibrary.org/obo/MONDO_0024655	rheumatic pericarditis
http://purl.obolibrary.org/obo/MONDO_0004514	chronic rhinitis	http://purl.obolibrary.org/obo/MONDO_0003014	rhinitis
http://purl.obolibrary.org/obo/MONDO_0006031	chronic rhinosinusitis	http://purl.obolibrary.org/obo/MONDO_0005961	sinusitis
http://purl.obolibrary.org/obo/MONDO_0003617	chronic salpingitis	http://purl.obolibrary.org/obo/MONDO_0003619	salpingitis
http://purl.obolibrary.org/obo/MONDO_0001474	chronic salpingo-oophoritis	http://purl.obolibrary.org/obo/MONDO_0001172	salpingo-oophoritis
http://purl.obolibrary.org/obo/MONDO_0001123	chronic sphenoidal sinusitis	http://purl.obolibrary.org/obo/MONDO_0005964	sphenoid sinusitis
http://purl.obolibrary.org/obo/MONDO_0001074	chronic tic disorder	http://purl.obolibrary.org/obo/MONDO_0002420	tic disorder
http://purl.obolibrary.org/obo/MONDO_0001227ub	chronic tympanitis	http://purl.obolibrary.org/obo/MONDO_0024616	tympanitis
http://purl.obolibrary.org/obo/MONDO_0000492	chronic venous insufficiency	http://purl.obolibrary.org/obo/MONDO_0000945	venous insufficiency (disease)
http://purl.obolibrary.org/obo/MONDO_0009847	pericardial effusion, chronic	http://purl.obolibrary.org/obo/MONDO_0001370	pericardial effusion (disease)
http://purl.obolibrary.org/obo/MONDO_0001025	seminal vesicle chronic gonorrhea	http://purl.obolibrary.org/obo/MONDO_0001027	gonococcal seminal vesiculitis
http://purl.obolibrary.org/obo/MONDO_0001213	serous glue ear	http://purl.obolibrary.org/obo/MONDO_0021203	serous otitis media
