iri	iri label	disease	disease label
MONDO:0008719	acrorenal syndrome, autosomal recessive	MONDO:0007059	acrorenal syndrome
MONDO:0008762	autosomal recessive Alport syndrome	MONDO:0018965	Alport syndrome
MONDO:0002014	autosomal recessive Ehlers-Danlos syndrome, vascular type	MONDO:0017314	Ehlers-Danlos syndrome, vascular type
MONDO:0008406	autosomal recessive Emery-Dreifuss muscular dystrophy	MONDO:0016830	Emery-Dreifuss muscular dystrophy
MONDO:0009486	autosomal recessive Kenny-Caffey syndrome	MONDO:0016516	Kenny-Caffey syndrome
MONDO:0009999	autosomal recessive Robinow syndrome	MONDO:0019978	Robinow syndrome
MONDO:0016647	autosomal recessive Stickler syndrome	MONDO:0019354	Stickler syndrome
MONDO:0019601	autosomal recessive axonal hereditary motor and sensory neuropathy	MONDO:0018775	axonal hereditary motor and sensory neuropathy
MONDO:0018662	autosomal recessive brachyolmia	MONDO:0015262	brachyolmia
MONDO:0015705	autosomal recessive centronuclear myopathy	MONDO:0018947	centronuclear myopathy
MONDO:0015244	autosomal recessive cerebellar ataxia	MONDO:0000437	cerebellar ataxia
MONDO:0015089	autosomal recessive complex spastic paraplegia	MONDO:0015150	complex hereditary spastic paraplegia
MONDO:0006025	autosomal recessive disease	MONDO:0000001	disease
MONDO:0020097	autosomal recessive disease with focal palmoplantar keratoderma as a major feature	MONDO:0017674	disease with focal palmoplantar keratoderma as a major feature
MONDO:0015363	autosomal recessive distal hereditary motor neuropathy	MONDO:0018894	distal hereditary motor neuropathy
MONDO:0016109	autosomal recessive distal myopathy	MONDO:0018949	distal myopathy
MONDO:0018440	autosomal recessive distal renal tubular acidosis	MONDO:0015827	distal renal tubular acidosis (disease)
MONDO:0011551	autosomal recessive dopa-responsive dystonia	MONDO:0016812	Dopa-responsive dystonia
MONDO:0009572	autosomal recessive familial Mediterranean fever	MONDO:0018088	familial Mediterranean fever
MONDO:0015366	autosomal recessive hereditary sensory and autonomic neuropathy	MONDO:0015364	hereditary sensory and autonomic neuropathy
MONDO:0009356	autosomal recessive humeroradial synostosis	MONDO:0007737	humeroradial synostosis (disease)
MONDO:0016619	autosomal recessive hypohidrotic ectodermal dysplasia	MONDO:0016535	hypohidrotic ectodermal dysplasia
MONDO:0017324	autosomal recessive hypophosphatemic rickets	MONDO:0000044	hypophosphatemic rickets
MONDO:0017058	autosomal recessive intermediate Charcot-Marie-tooth disease	MONDO:0018778	intermediate Charcot-Marie-tooth disease
MONDO:0020096	autosomal recessive isolated diffuse palmoplantar keratoderma	MONDO:0017667	isolated diffuse palmoplantar keratoderma
MONDO:0015152	autosomal recessive limb-girdle muscular dystrophy	MONDO:0016971	limb-girdle muscular dystrophy
MONDO:0009926	autosomal recessive multiple pterygium syndrome	MONDO:0017415	multiple pterygium syndrome
MONDO:0019502	autosomal recessive non-syndromic intellectual disability	MONDO:0000509	non-syndromic intellectual disability
MONDO:0019588	autosomal recessive nonsyndromic deafness	MONDO:0019497	nonsyndromic deafness
MONDO:0009779	autosomal recessive omodysplasia	MONDO:0017136	omodysplasia
MONDO:0016810	autosomal recessive progressive external ophthalmoplegia	MONDO:0005181	progressive external ophthalmoplegia
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	MONDO:0008369	proximal renal tubular acidosis
MONDO:0015090	autosomal recessive pure spastic paraplegia	MONDO:0015149	pure hereditary spastic paraplegia
MONDO:0016828	autosomal recessive sideroblastic anemia	MONDO:0015194	sideroblastic anemia
MONDO:0017847	autosomal recessive spastic ataxia	MONDO:0017845	spastic ataxia
MONDO:0010180	autosomal recessive spondylocostal dysostosis	MONDO:0000359	spondylocostal dysostosis
MONDO:0008866	bifid nose, autosomal recessive	MONDO:0000110	bifid nose
MONDO:0009035	craniometaphyseal dysplasia, autosomal recessive	MONDO:0015465	craniometaphyseal dysplasia
MONDO:0009715	myotonia congenita, autosomal recessive	MONDO:0009710	myotonia congenita
MONDO:0009768	oculodentodigital dysplasia, autosomal recessive	MONDO:0008111	oculodentodigital dysplasia
MONDO:0009097	persistent hyperplastic primary vitreous, autosomal recessive	MONDO:0019631	persistent hyperplastic primary vitreous
MONDO:0010072	spondyloepiphyseal dysplasia tarda, autosomal recessive	MONDO:0019667	spondyloepiphyseal dysplasia tarda
