iri,iri label,location,location label
MONDO:0021082,Meckel diverticulum neoplasm,UBERON:0003705,Meckel's diverticulum
MONDO:0021049,Vulvar Neoplasm,UBERON:0000997,mammalian vulva
MONDO:0001884,abducens nerve neoplasm,UBERON:0001646,abducens nerve
MONDO:0021227,adrenal gland neoplasm,UBERON:0002369,adrenal gland
MONDO:0021237,adrenal medulla neoplasm,UBERON:0001236,adrenal medulla
MONDO:0000921,ampulla of vater neoplasm,UBERON:0004913,hepatopancreatic ampulla
MONDO:0003045,anal gland neoplasm,UBERON:0004760,gland of anal canal
MONDO:0003046,anus neoplasm,UBERON:0001245,anus
MONDO:0003686,apocrine sweat gland neoplasm,UBERON:0000382,apocrine sweat gland
MONDO:0001236,appendiceal neoplasm,UBERON:0001154,vermiform appendix
MONDO:0002366,autonomic nervous system neoplasm,UBERON:0002410,autonomic nervous system
MONDO:0021114,bartholin gland neoplasm,UBERON:0000460,major vestibular gland
MONDO:0005304,biliary tract neoplasm (disease),UBERON:0001173,biliary tree
MONDO:0004987,bladder tumor,UBERON:0001255,urinary bladder
MONDO:0021080,blood vessel neoplasm,UBERON:0001981,blood vessel
MONDO:0005374,bone marrow neoplasm,UBERON:0002371,bone marrow
MONDO:0003700,brachial plexus neoplasm,UBERON:0001814,brachial nerve plexus
MONDO:0021211,brain neoplasm,UBERON:0000955,brain
MONDO:0021228,brainstem neoplasm,UBERON:0002298,brainstem
MONDO:0021100,breast neoplasm,UBERON:0000310,breast
MONDO:0002807,bronchial neoplasm (disease),UBERON:0002185,bronchus
MONDO:0021241,buccal mucosa neoplasm,UBERON:0006956,buccal mucosa
MONDO:0003164,cauda equina neoplasm,UBERON:0012337,cauda equina
MONDO:0005694,cecal neoplasm,UBERON:0001153,caecum
MONDO:0006130,central nervous system neoplasm,UBERON:0001017,central nervous system
MONDO:0002913,cerebellar neoplasm,UBERON:0002037,cerebellum
MONDO:0002553,cerebellopontine angle tumor,UBERON:0014908,cerebellopontine angle
MONDO:0021258,choroid neoplasm,UBERON:0001776,optic choroid
MONDO:0021229,ciliary body neoplasm,UBERON:0001775,ciliary body
MONDO:0005401,colonic neoplasm,UBERON:0001155,colon
MONDO:0005335,colorectal neoplasm,UBERON:0012652,colorectum
MONDO:0006709,common bile duct neoplasm,UBERON:0001174,common bile duct
MONDO:0020204,conjunctival tumor,UBERON:0001811,conjunctiva
MONDO:0021581,connective tissue neoplasm,UBERON:0002384,connective tissue
MONDO:0002719,conus medullaris neoplasm,UBERON:0005437,conus medullaris
MONDO:0021238,cornea neoplasm,UBERON:0000964,cornea
MONDO:0021254,corpus uteri neoplasm,UBERON:0009853,body of uterus
MONDO:0002435,cranial nerve III tumor,UBERON:0001643,oculomotor nerve
MONDO:0002633,cranial nerve neoplasm,UBERON:0001785,cranial nerve
MONDO:0002300,dermis tumor,UBERON:0002067,dermis
MONDO:0021223,digestive system neoplasm,UBERON:0001007,digestive system
MONDO:0021233,ear neoplasm,UBERON:0001690,ear
MONDO:0002090,eccrine sweat gland neoplasm,UBERON:0000423,eccrine sweat gland
MONDO:0002082,endocrine gland neoplasm,UBERON:0002368,endocrine gland
MONDO:0006190,endolymphatic sac tumor (disease),UBERON:0002223,endolymphatic sac
MONDO:0021251,endometrium neoplasm,UBERON:0001295,endometrium
MONDO:0002297,epidermal appendage tumor,UBERON:0000021,cutaneous appendage
MONDO:0003283,epididymal neoplasm,UBERON:0001301,epididymis
MONDO:0004109,epiglottis neoplasm,UBERON:0000388,epiglottis
MONDO:0001764,ethmoidal sinus neoplasm,UBERON:0002453,ethmoid sinus
MONDO:0021235,external ear neoplasm,UBERON:0001691,external ear
MONDO:0021220,eye neoplasm,UBERON:0000970,eye
MONDO:0002235,eyelid neoplasm,UBERON:0001711,eyelid
MONDO:0002101,facial nerve neoplasm,UBERON:0001647,facial nerve
MONDO:0021092,fallopian tube neoplasm,UBERON:0003889,fallopian tube
MONDO:0021148,female reproductive system neoplasm,UBERON:0000474,female reproductive system
MONDO:0001421,frontal lobe neoplasm,UBERON:0016525,frontal lobe
MONDO:0001757,frontal sinus neoplasm,UBERON:0001760,frontal sinus
MONDO:0021253,gallbladder neoplasm,UBERON:0002110,gall bladder
MONDO:0021085,gastric neoplasm,UBERON:0000945,stomach
MONDO:0021086,gingival neoplasm,UBERON:0001828,gingiva
