iri	iri label	location	location label
MONDO:0019480	Langerhans cell sarcoma	CL:0000453	Langerhans cell
MONDO:0002865	anus sarcoma	UBERON:0001245	anus
MONDO:0002862	bile duct sarcoma	UBERON:0002394	bile duct
MONDO:0001374	bladder sarcoma	UBERON:0001255	urinary bladder
MONDO:0002216	brain sarcoma	UBERON:0000955	brain
MONDO:0002490	breast sarcoma	UBERON:0000310	breast
MONDO:0002217	central nervous system sarcoma	UBERON:0001017	central nervous system
MONDO:0007300	cerebral sarcoma	UBERON:0001893	telencephalon
MONDO:0003352	colon sarcoma	UBERON:0001155	colon
MONDO:0004380	dendritic cell sarcoma	CL:0000451	dendritic cell
MONDO:0001204	esophagus sarcoma	UBERON:0001043	esophagus
MONDO:0005764	follicular dendritic cell sarcoma	CL:0000442	follicular dendritic cell
MONDO:0002857	gallbladder sarcoma	UBERON:0002110	gall bladder
MONDO:0003354	heart sarcoma	UBERON:0000948	heart
MONDO:0002930	kidney sarcoma	UBERON:0002113	kidney
MONDO:0002448	larynx sarcoma	UBERON:0001737	larynx
MONDO:0004330	leptomeninges sarcoma	UBERON:0000391	leptomeninx
MONDO:0005060	liposarcoma	UBERON:0001833	lip
MONDO:0002397	liver sarcoma	UBERON:0002107	liver
MONDO:0002426	lung sarcoma	UBERON:0002048	lung
MONDO:0019024	mast cell sarcoma	CL:0000097	mast cell
MONDO:0002852	mediastinum sarcoma	UBERON:0003728	mediastinum
MONDO:0004308	meninges sarcoma	UBERON:0010743	meningeal cluster
MONDO:0004943	orbit sarcoma	UBERON:0001697	orbit of skull
MONDO:0009807	osteosarcoma (disease)	UBERON:0008883	osteoid
MONDO:0002225	ovary sarcoma	UBERON:0000992	ovary
MONDO:0002117	pancreas sarcoma	UBERON:0001264	pancreas
MONDO:0001758	paranasal sinus sarcoma	UBERON:0001825	paranasal sinus
MONDO:0001387	penis sarcoma	UBERON:0000989	penis
MONDO:0002854	prostate sarcoma	UBERON:0002367	prostate gland
MONDO:0002168	rectum sarcoma	UBERON:0001052	rectum
MONDO:0009975	reticulum cell sarcoma	CL:0000432	reticular cell
MONDO:0001501	retroperitoneal sarcoma	UBERON:0003693	retroperitoneal space
MONDO:0016280	sarcoma of cervix uteri	UBERON:0000002	uterine cervix
MONDO:0006414	skin sarcoma	UBERON:0000014	zone of skin
MONDO:0001894	spinal cord sarcoma	UBERON:0002240	spinal cord
MONDO:0002861	testis sarcoma	UBERON:0000473	testis
MONDO:0003028	thyroid sarcoma	UBERON:0002046	thyroid gland
MONDO:0001418	trachea sarcoma	UBERON:0003126	trachea
MONDO:0005210	uterine sarcoma	UBERON:0009853	body of uterus
MONDO:0002140	vagina sarcoma	UBERON:0000996	vagina
MONDO:0005329	vascular sarcoma	UBERON:0001981	blood vessel
MONDO:0005214	vulva sarcoma	UBERON:0000997	mammalian vulva
