iri,iri label,disease,disease label
MONDO:0020027,rare allergic disease,MONDO:0005271,allergic disease
MONDO:0020028,rare allergic respiratory disease,MONDO:0000771,allergic respiratory disease
MONDO:0015223,rare anemia,MONDO:0002280,anemia (disease)
MONDO:0016234,rare arteriovenous malformation,MONDO:0001256,arteriovenous malformation
MONDO:0018497,rare autonomic nervous system disorder,MONDO:0001292,autonomic nervous system disease
MONDO:0015575,rare bacterial infectious disease,MONDO:0001026,bacterial infectious disease
MONDO:0015116,rare biliary tract disease,MONDO:0004868,biliary tract disease
MONDO:0019684,rare bone disease,MONDO:0005381,bone disease
MONDO:0016274,rare cancer of cervix uteri,MONDO:0002974,cervical cancer
MONDO:0016314,rare carcinoma of pancreas,MONDO:0005192,exocrine pancreatic carcinoma
MONDO:0018501,rare carcinoma of stomach,MONDO:0004950,gastric carcinoma
MONDO:0019996,rare cardiac disease,MONDO:0005267,heart disease
MONDO:0016347,rare cardiac rhythm disease,MONDO:0007263,cardiac rhythm disease
MONDO:0020224,rare cataract,MONDO:0005129,cataract (disease)
MONDO:0020015,rare circulatory system disease,MONDO:0004995,cardiovascular disease
MONDO:0020198,rare conjunctival disease,MONDO:0002932,conjunctival disease
MONDO:0018887,rare cutaneous lupus erythematosus,MONDO:0005282,cutaneous lupus erythematosus
MONDO:0016623,rare deficiency anemia,MONDO:0001639,deficiency anemia
MONDO:0019515,rare dementia,MONDO:0001627,dementia
MONDO:0015122,rare diabetes mellitus,MONDO:0005015,diabetes mellitus (disease)
MONDO:0015886,rare diabetes mellitus type 1,MONDO:0005147,type 1 diabetes mellitus
MONDO:0019049,rare dystonia,MONDO:0003441,dystonia (disease)
MONDO:0020005,rare endocrine disease,MONDO:0005151,endocrine system disease
MONDO:0015305,rare endometriosis,MONDO:0005133,endometriosis (disease)
MONDO:0015139,rare epilepsy,MONDO:0005027,epilepsy
MONDO:0020004,rare eye disease,MONDO:0005328,eye disease
MONDO:0020026,rare female infertility,MONDO:0021124,female infertility
MONDO:0018080,rare germ cell tumor,MONDO:0005040,germ cell tumor
MONDO:0020037,rare gynecological tumor,MONDO:0021148,female reproductive system neoplasm
MONDO:0017371,rare head and neck tumor,MONDO:0005586,head and neck neoplasia
MONDO:0020011,rare headache disorder,MONDO:0021146,headache disorder
MONDO:0020100,rare hemolytic anemia,MONDO:0003664,hemolytic anemia
MONDO:0018928,rare hepatic disease,MONDO:0005154,liver disease
MONDO:0015897,rare hyperparathyroidism,MONDO:0001741,hyperparathyroidism
MONDO:0015894,rare hyperthyroidism,MONDO:0004425,hyperthyroidism
MONDO:0015896,rare hypoparathyroidism,MONDO:0001220,hypoparathyroidism
MONDO:0015893,rare hypothyroidism,MONDO:0005420,hypothyroidism
MONDO:0020008,rare immune disease,MONDO:0005046,immune system disease
MONDO:0019062,rare infectious disease,MONDO:0005550,infectious disease
MONDO:0020024,rare infertility,MONDO:0005047,infertility
MONDO:0015187,rare inflammatory bowel disease,MONDO:0005265,inflammatory bowel disease
MONDO:0019491,rare intellectual disability,MONDO:0001071,intellectual disability
MONDO:0015245,rare intestinal disease,MONDO:0005020,intestinal disease
MONDO:0016766,rare lichen planus,MONDO:0006572,lichen planus
MONDO:0020025,rare male infertility,MONDO:0005372,male infertility
MONDO:0015870,rare malignant breast tumor,MONDO:0007254,breast cancer
MONDO:0015143,rare movement disorder,MONDO:0005395,movement disorder
MONDO:0015578,rare mycosis,MONDO:0002041,fungal infectious disease
MONDO:0016645,rare neoplastic disease,MONDO:0005070,neoplasm (disease)
MONDO:0015918,rare neurodegenerative disease,MONDO:0005559,neurodegenerative disease
MONDO:0020009,rare neurologic disease,MONDO:0005071,nervous system disease
MONDO:0017414,rare nevus,MONDO:0005073,melanocytic nevus
MONDO:0015108,rare non-syndromic intellectual disability,MONDO:0000509,non-syndromic intellectual disability
MONDO:0019059,rare parkinsonian disorder,MONDO:0021095,parkinsonian disorder
MONDO:0020126,rare peripheral neuropathy,MONDO:0005244,peripheral neuropathy
MONDO:0015680,rare pervasive developmental disorder,MONDO:0000594,pervasive developmental disorder
MONDO:0019096,rare pulmonary hypertension,MONDO:0005149,pulmonary hypertension
MONDO:0019750,rare renal disease,MONDO:0002118,urinary system disease
MONDO:0020000,rare respiratory disease,MONDO:0005087,respiratory system disease
MONDO:0019519,rare skin disease,MONDO:0005093,skin disease
MONDO:0019045,rare sleep disorder,MONDO:0003406,sleep disorder
MONDO:0015162,rare syndromic intellectual disability,MONDO:0000508,syndromic intellectual disability
MONDO:0015125,rare thyroid disease,MONDO:0003240,thyroid gland disease
MONDO:0015186,rare tumor of intestine,MONDO:0021118,intestinal neoplasm
MONDO:0019298,rare urticaria,MONDO:0005492,urticaria
MONDO:0016252,rare uterine cancer,MONDO:0002715,uterine cancer
MONDO:0019048,rare vascular disease,MONDO:0005385,vascular disease
MONDO:0015576,rare viral disease,MONDO:0005108,viral disease
