iri,iri label,neoplasm,neoplasm label
MONDO:0006103,benign adrenal gland pheochromocytoma,MONDO:0004974,adrenal gland pheochromocytoma
MONDO:0002065,benign breast adenomyoepithelioma,MONDO:0002066,breast adenomyoepithelioma
MONDO:0015871,benign breast phyllodes tumor,MONDO:0021047,breast phyllodes tumor
MONDO:0006104,benign carotid body paraganglioma,MONDO:0021053,carotid body paraganglioma
MONDO:0003161,benign ependymoma,MONDO:0016698,ependymoma
MONDO:0000638,benign glioma,MONDO:0021042,glioma
MONDO:0003250,benign granular cell tumor,MONDO:0006235,granular cell tumor
MONDO:0021048,benign mastocytoma,MONDO:0003079,mastocytoma
MONDO:0003054,benign meningioma,MONDO:0016642,meningioma (disease)
MONDO:0002382,benign mesenchymoma,MONDO:0006854,mesenchymoma
MONDO:0002373,benign mesothelioma,MONDO:0005065,mesothelioma
MONDO:0006675,benign monoclonal gammopathy,MONDO:0004960,monoclonal gammopathy
MONDO:0005165,benign neoplasm,MONDO:0005070,neoplasm (disease)
MONDO:0003342,benign perivascular tumor,MONDO:0002604,pericytic neoplasm
MONDO:0003308,benign pleural mesothelioma,MONDO:0006379,pleural mesothelioma (disease)
MONDO:0003333,benign struma ovarii,MONDO:0006980,struma ovarii
