iri	iri label	location	location label
MONDO:0002636	accessory nerve disease	UBERON:0002019	accessory XI nerve
MONDO:0002816	adrenal cortex disease	UBERON:0001235	adrenal cortex
MONDO:0005495	adrenal gland disease	UBERON:0002369	adrenal gland
MONDO:0003182	anterior horn disease	UBERON:0002257	ventral horn of spinal cord
MONDO:0002519	anus disease	UBERON:0001245	anus
MONDO:0005561	aortic disease	UBERON:0000947	aorta
MONDO:0003803	aortic valve disease	UBERON:0002137	aortic valve
MONDO:0000473	artery disease	UBERON:0001637	artery
MONDO:0003816	articular cartilage disease	UBERON:0010996	articular cartilage of joint
MONDO:0005476	atrioventricular node disease	UBERON:0002352	atrioventricular node
MONDO:0002409	auditory system disease	UBERON:0016490	auditory system
MONDO:0001292	autonomic nervous system disease	UBERON:0002410	autonomic nervous system
MONDO:0003996	basal ganglia disease	UBERON:0010011	collection of basal ganglia
MONDO:0002887	bile duct disease	UBERON:0002394	bile duct
MONDO:0004868	biliary tract disease	UBERON:0001173	biliary tree
MONDO:0006026	bladder disease	UBERON:0001255	urinary bladder
MONDO:0005497	bone development disease	GO:0060348	bone development
MONDO:0005381	bone disease	UBERON:0001474	bone element
MONDO:0003225	bone marrow disease	UBERON:0002371	bone marrow
MONDO:0005560	brain disease	UBERON:0000955	brain
MONDO:0002657	breast disease	UBERON:0000310	breast
MONDO:0001358	bronchial disease	UBERON:0002185	bronchus
MONDO:0001574	capillary disease	UBERON:0001982	capillary
MONDO:0004995	cardiovascular disease	UBERON:0004535	cardiovascular system
MONDO:0005269	carotid artery disease	UBERON:0005396	carotid artery segment
MONDO:0005569	cartilage disease	UBERON:0002418	cartilage tissue
MONDO:0002031	cecal disease	UBERON:0001153	caecum
MONDO:0002602	central nervous system disease	UBERON:0001017	central nervous system
MONDO:0002427	cerebellar disease	UBERON:0002037	cerebellum
MONDO:0002256	cervix disease	UBERON:0000002	uterine cervix
MONDO:0001898	choroid disease	UBERON:0001776	optic choroid
MONDO:0002970	ciliary body disease	UBERON:0001775	ciliary body
MONDO:0003452	cochlear disease	UBERON:0001844	cochlea
MONDO:0003409	colonic disease	UBERON:0001155	colon
MONDO:0002886	common bile duct disease	UBERON:0001174	common bile duct
MONDO:0005449	conduction system disorder	UBERON:0002350	conducting system of heart
MONDO:0002932	conjunctival disease	UBERON:0001811	conjunctiva
MONDO:0003900	connective tissue disease	UBERON:0002384	connective tissue
MONDO:0000942	corneal disease	UBERON:0000964	cornea
MONDO:0005010	coronary artery disease	UBERON:0001621	coronary artery
MONDO:0003569	cranial nerve neuropathy	UBERON:0034713	cranial neuron projection bundle
MONDO:0003394	dental pulp disease	UBERON:0001754	dental pulp
MONDO:0005728	diaphragm disease	UBERON:0001103	diaphragm
MONDO:0002866	duodenal disease	UBERON:0002114	duodenum
MONDO:0000470	endocardium disease	UBERON:0002165	endocardium
MONDO:0001933	endocrine pancreas disease	UBERON:0000016	endocrine pancreas
MONDO:0005151	endocrine system disease	UBERON:0000949	endocrine system
MONDO:0000931	endometrial disease	UBERON:0001295	endometrium
MONDO:0003749	esophageal disease	UBERON:0001043	esophagus
MONDO:0004866	eustachian tube disease	UBERON:0002393	pharyngotympanic tube
MONDO:0002776	external ear disease	UBERON:0001691	external ear
MONDO:0000462	eye adnexa disease	UBERON:0035639	ocular adnexa
MONDO:0005328	eye disease	UBERON:0000970	eye
MONDO:0003382	eyelid disease	UBERON:0001711	eyelid
MONDO:0002098	facial nerve disease	UBERON:0001647	facial nerve
MONDO:0002156	fallopian tube disease	UBERON:0003889	fallopian tube
MONDO:0002263	female reproductive system disease	UBERON:0000474	female reproductive system
MONDO:0005281	gallbladder disease	UBERON:0002110	gall bladder
MONDO:0004335	gastrointestinal system disease	UBERON:0005409	alimentary part of gastrointestinal system
MONDO:0002021	gingival disease	UBERON:0001828	gingiva
MONDO:0019722	glomerular disease	UBERON:0000074	renal glomerulus
MONDO:0002639	glossopharyngeal nerve disease	UBERON:0001649	glossopharyngeal nerve
MONDO:0002259	gonadal disease	UBERON:0000991	gonad
