iri	iri label	disease	disease label
MONDO:0007086	autosomal dominant Alport syndrome	MONDO:0018965	Alport syndrome
MONDO:0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type	MONDO:0017314	Ehlers-Danlos syndrome, vascular type
MONDO:0020336	autosomal dominant Emery-Dreifuss muscular dystrophy	MONDO:0016830	Emery-Dreifuss muscular dystrophy
MONDO:0007478	autosomal dominant Kenny-Caffey syndrome	MONDO:0016516	Kenny-Caffey syndrome
MONDO:0007779	autosomal dominant Opitz G/BBB syndrome	MONDO:0017138	Opitz G/BBB syndrome
MONDO:0007232	autosomal dominant brachyolmia	MONDO:0015262	brachyolmia
MONDO:0008048	autosomal dominant centronuclear myopathy	MONDO:0018947	centronuclear myopathy
MONDO:0020380	autosomal dominant cerebellar ataxia	MONDO:0000437	cerebellar ataxia
MONDO:0007321	autosomal dominant chondrodysplasia punctata	MONDO:0019701	chondrodysplasia punctata
MONDO:0015445	autosomal dominant coarctation of aorta	MONDO:0007345	aorta coarctation
MONDO:0015087	autosomal dominant complex spastic paraplegia	MONDO:0015150	complex hereditary spastic paraplegia
MONDO:0019571	autosomal dominant cutis laxa	MONDO:0016175	cutis laxa
MONDO:0007420	autosomal dominant deafness-onychodystrophy syndrome	MONDO:0017922	deafness-onychodystrophy syndrome
MONDO:0000426	autosomal dominant disease	MONDO:0000001	disease
MONDO:0020095	autosomal dominant disease associated with focal palmoplantar keratoderma as a major feature	MONDO:0017674	disease with focal palmoplantar keratoderma as a major feature
MONDO:0020094	autosomal dominant disease with diffuse palmoplantar keratoderma as a major feature	MONDO:0017669	disease with diffuse palmoplantar keratoderma as a major feature
MONDO:0015362	autosomal dominant distal hereditary motor neuropathy	MONDO:0018894	distal hereditary motor neuropathy
MONDO:0016108	autosomal dominant distal myopathy	MONDO:0018949	distal myopathy
MONDO:0008368	autosomal dominant distal renal tubular acidosis	MONDO:0015827	distal renal tubular acidosis (disease)
MONDO:0015365	autosomal dominant hereditary sensory and autonomic neuropathy	MONDO:0015364	hereditary sensory and autonomic neuropathy
MONDO:0015884	autosomal dominant hypohidrotic ectodermal dysplasia	MONDO:0016535	hypohidrotic ectodermal dysplasia
MONDO:0008660	autosomal dominant hypophosphatemic rickets	MONDO:0000044	hypophosphatemic rickets
MONDO:0019548	autosomal dominant intermediate Charcot-Marie-tooth disease	MONDO:0018778	intermediate Charcot-Marie-tooth disease
MONDO:0020093	autosomal dominant isolated diffuse palmoplantar keratoderma	MONDO:0017667	isolated diffuse palmoplantar keratoderma
MONDO:0007848	autosomal dominant keratitis	MONDO:0003085	keratitis
MONDO:0007850	autosomal dominant keratitis-ichthyosis-deafness syndrome	MONDO:0018781	KID syndrome
MONDO:0015151	autosomal dominant limb-girdle muscular dystrophy	MONDO:0016971	limb-girdle muscular dystrophy
MONDO:0007988	autosomal dominant microcephaly	MONDO:0001149	microcephaly (disease)
MONDO:0008338	autosomal dominant multiple pterygium syndrome	MONDO:0017415	multiple pterygium syndrome
MONDO:0008046	autosomal dominant myoglobinuria	MONDO:0000866	myoglobinuria
MONDO:0015802	autosomal dominant non-syndromic intellectual disability	MONDO:0000509	non-syndromic intellectual disability
MONDO:0019587	autosomal dominant nonsyndromic deafness	MONDO:0019497	nonsyndromic deafness
MONDO:0008123	autosomal dominant omodysplasia	MONDO:0017136	omodysplasia
MONDO:0020250	autosomal dominant optic atrophy	MONDO:0003608	optic atrophy
MONDO:0007334	autosomal dominant popliteal pterygium syndrome	MONDO:0017435	popliteal pterygium syndrome
MONDO:0008003	autosomal dominant progressive external ophthalmoplegia	MONDO:0005181	progressive external ophthalmoplegia
MONDO:0017829	autosomal dominant proximal renal tubular acidosis	MONDO:0008369	proximal renal tubular acidosis
MONDO:0016224	autosomal dominant proximal spinal muscular atrophy	MONDO:0019079	proximal spinal muscular atrophy
MONDO:0015088	autosomal dominant pure spastic paraplegia	MONDO:0015149	pure hereditary spastic paraplegia
MONDO:0016202	autosomal dominant rhegmatogenous retinal detachment	MONDO:0005464	rhegmatogenous retinal detachment
MONDO:0016599	autosomal dominant secondary polycythemia	MONDO:0020115	secondary polycythemia
MONDO:0008742	autosomal dominant severe congenital neutropenia	MONDO:0018542	severe congenital neutropenia
MONDO:0008422	autosomal dominant sideroblastic anemia	MONDO:0015194	sideroblastic anemia
MONDO:0017846	autosomal dominant spastic ataxia	MONDO:0017845	spastic ataxia
MONDO:0015826	autosomal dominant spondylocostal dysostosis	MONDO:0000359	spondylocostal dysostosis
