iri	iri label	disease	disease label
http://purl.obolibrary.org/obo/MONDO_0016250	rare adenocarcinoma of the breast	http://purl.obolibrary.org/obo/MONDO_0004988	breast adenocarcinoma
http://purl.obolibrary.org/obo/MONDO_0020027	rare allergic disease	http://purl.obolibrary.org/obo/MONDO_0005271	allergic disease
http://purl.obolibrary.org/obo/MONDO_0020028	rare allergic respiratory disease	http://purl.obolibrary.org/obo/MONDO_0000771	allergic respiratory disease
http://purl.obolibrary.org/obo/MONDO_0015223	rare anemia	http://purl.obolibrary.org/obo/MONDO_0002280	anemia (disease)
http://purl.obolibrary.org/obo/MONDO_0016234	rare arteriovenous malformation	http://purl.obolibrary.org/obo/MONDO_0001256	arteriovenous hemangioma/malformation
http://purl.obolibrary.org/obo/MONDO_0018497	rare autonomic nervous system disorder	http://purl.obolibrary.org/obo/MONDO_0001292	autonomic nervous system disease
http://purl.obolibrary.org/obo/MONDO_0015575	rare bacterial infectious disease	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease
http://purl.obolibrary.org/obo/MONDO_0015869	rare benign breast tumor	http://purl.obolibrary.org/obo/MONDO_0000620	breast benign neoplasm
http://purl.obolibrary.org/obo/MONDO_0019965	rare benign ovarian tumor	http://purl.obolibrary.org/obo/MONDO_0000646	ovarian benign neoplasm
http://purl.obolibrary.org/obo/MONDO_0015116	rare biliary tract disease	http://purl.obolibrary.org/obo/MONDO_0004868	biliary tract disease
http://purl.obolibrary.org/obo/MONDO_0020116	rare blood coagulation disease	http://purl.obolibrary.org/obo/MONDO_0001531	blood coagulation disease
http://purl.obolibrary.org/obo/MONDO_0015328	rare bone development disorder	http://purl.obolibrary.org/obo/MONDO_0005497	bone development disease
http://purl.obolibrary.org/obo/MONDO_0019684	rare bone disease	http://purl.obolibrary.org/obo/MONDO_0005381	bone disease
http://purl.obolibrary.org/obo/MONDO_0015868	rare breast tumor	http://purl.obolibrary.org/obo/MONDO_0021100	breast neoplasm
http://purl.obolibrary.org/obo/MONDO_0016274	rare cancer of cervix uteri	http://purl.obolibrary.org/obo/MONDO_0002974	cervical cancer
http://purl.obolibrary.org/obo/MONDO_0016314	rare carcinoma of pancreas	http://purl.obolibrary.org/obo/MONDO_0005192	exocrine pancreatic carcinoma
http://purl.obolibrary.org/obo/MONDO_0018508	rare carcinoma of small intestine	http://purl.obolibrary.org/obo/MONDO_0005522	small intestine carcinoma
http://purl.obolibrary.org/obo/MONDO_0018501	rare carcinoma of stomach	http://purl.obolibrary.org/obo/MONDO_0004950	gastric carcinoma
http://purl.obolibrary.org/obo/MONDO_0019996	rare cardiac disease	http://purl.obolibrary.org/obo/MONDO_0005267	heart disease
http://purl.obolibrary.org/obo/MONDO_0016347	rare cardiac rhythm disease	http://purl.obolibrary.org/obo/MONDO_0007263	cardiac rhythm disease
http://purl.obolibrary.org/obo/MONDO_0015673	rare cardiac tumor	http://purl.obolibrary.org/obo/MONDO_0021209	heart neoplasm
http://purl.obolibrary.org/obo/MONDO_0020224	rare cataract	http://purl.obolibrary.org/obo/MONDO_0005129	cataract (disease)
http://purl.obolibrary.org/obo/MONDO_0019110	rare central nervous system or retinal vascular disease	http://purl.obolibrary.org/obo/MONDO_0020676	disease of central nervous system or retinal vasculature
http://purl.obolibrary.org/obo/MONDO_0036491	rare childhood malignant neoplasm	http://purl.obolibrary.org/obo/MONDO_0006517	childhood malignant neoplasm
http://purl.obolibrary.org/obo/MONDO_0020015	rare circulatory system disease	http://purl.obolibrary.org/obo/MONDO_0004995	cardiovascular disease
http://purl.obolibrary.org/obo/MONDO_0020198	rare conjunctival disease	http://purl.obolibrary.org/obo/MONDO_0002932	conjunctival disease
http://purl.obolibrary.org/obo/MONDO_0018887	rare cutaneous lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0005282	cutaneous lupus erythematosus
http://purl.obolibrary.org/obo/MONDO_0019047	rare deafness	http://purl.obolibrary.org/obo/MONDO_0005365	hearing loss disorder
http://purl.obolibrary.org/obo/MONDO_0016623	rare deficiency anemia	http://purl.obolibrary.org/obo/MONDO_0001639	deficiency anemia
http://purl.obolibrary.org/obo/MONDO_0019515	rare dementia	http://purl.obolibrary.org/obo/MONDO_0001627	dementia
http://purl.obolibrary.org/obo/MONDO_0015122	rare diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005015	diabetes mellitus (disease)
http://purl.obolibrary.org/obo/MONDO_0015886	rare diabetes mellitus type 1	http://purl.obolibrary.org/obo/MONDO_0005147	type 1 diabetes mellitus
http://purl.obolibrary.org/obo/MONDO_0020033	rare digestive tumor	http://purl.obolibrary.org/obo/MONDO_0021223	digestive system neoplasm
http://purl.obolibrary.org/obo/MONDO_0021200	rare disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0015582	rare disorder related with pregnancy, childbirth and puerperium	http://purl.obolibrary.org/obo/MONDO_0024575	pregnancy disorder
http://purl.obolibrary.org/obo/MONDO_0019049	rare dystonia	http://purl.obolibrary.org/obo/MONDO_0003441	dystonic disorder
http://purl.obolibrary.org/obo/MONDO_0020005	rare endocrine disease	http://purl.obolibrary.org/obo/MONDO_0005151	endocrine system disease
http://purl.obolibrary.org/obo/MONDO_0015305	rare endometriosis	http://purl.obolibrary.org/obo/MONDO_0005133	endometriosis (disease)
http://purl.obolibrary.org/obo/MONDO_0015139	rare epilepsy	http://purl.obolibrary.org/obo/MONDO_0005027	epilepsy
http://purl.obolibrary.org/obo/MONDO_0018512	rare epithelial tumor of colon	http://purl.obolibrary.org/obo/MONDO_0024479	epithelial tumor of colon
http://purl.obolibrary.org/obo/MONDO_0018514	rare epithelial tumor of rectum	http://purl.obolibrary.org/obo/MONDO_0024476	epithelial neoplasm of rectum
http://purl.obolibrary.org/obo/MONDO_0020004	rare eye disease	http://purl.obolibrary.org/obo/MONDO_0005328	eye disease
http://purl.obolibrary.org/obo/MONDO_0015121	rare eye tumor	http://purl.obolibrary.org/obo/MONDO_0021220	eye neoplasm
http://purl.obolibrary.org/obo/MONDO_0020026	rare female infertility	http://purl.obolibrary.org/obo/MONDO_0021124	female infertility
http://purl.obolibrary.org/obo/MONDO_0018080	rare germ cell tumor	http://purl.obolibrary.org/obo/MONDO_0005040	germ cell tumor
http://purl.obolibrary.org/obo/MONDO_0020037	rare gynecological tumor	http://purl.obolibrary.org/obo/MONDO_0021148	female reproductive system neoplasm
http://purl.obolibrary.org/obo/MONDO_0017371	rare head and neck tumor	http://purl.obolibrary.org/obo/MONDO_0005586	head and neck neoplasm
http://purl.obolibrary.org/obo/MONDO_0020011	rare headache disorder	http://purl.obolibrary.org/obo/MONDO_0021146	headache disorder
http://purl.obolibrary.org/obo/MONDO_0020100	rare hemolytic anemia	http://purl.obolibrary.org/obo/MONDO_0003664	hemolytic anemia
http://purl.obolibrary.org/obo/MONDO_0015117	rare hepatic and biliary tract tumor	http://purl.obolibrary.org/obo/MONDO_0002514	hepatobiliary neoplasm
http://purl.obolibrary.org/obo/MONDO_0018928	rare hepatic disease	http://purl.obolibrary.org/obo/MONDO_0005154	liver disease
http://purl.obolibrary.org/obo/MONDO_0016363	rare hereditary hemochromatosis	http://purl.obolibrary.org/obo/MONDO_0006507	hereditary hemochromatosis
http://purl.obolibrary.org/obo/MONDO_0015897	rare hyperparathyroidism	http://purl.obolibrary.org/obo/MONDO_0001741	hyperparathyroidism
http://purl.obolibrary.org/obo/MONDO_0015894	rare hyperthyroidism	http://purl.obolibrary.org/obo/MONDO_0004425	hyperthyroidism
http://purl.obolibrary.org/obo/MONDO_0015896	rare hypoparathyroidism	http://purl.obolibrary.org/obo/MONDO_0001220	hypoparathyroidism
http://purl.obolibrary.org/obo/MONDO_0015893	rare hypothyroidism	http://purl.obolibrary.org/obo/MONDO_0005420	hypothyroidism
http://purl.obolibrary.org/obo/MONDO_0020008	rare immune disease	http://purl.obolibrary.org/obo/MONDO_0005046	immune system disease
http://purl.obolibrary.org/obo/MONDO_0019062	rare infectious disease	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease
http://purl.obolibrary.org/obo/MONDO_0020024	rare infertility	http://purl.obolibrary.org/obo/MONDO_0005047	infertility disorder
http://purl.obolibrary.org/obo/MONDO_0015187	rare inflammatory bowel disease	http://purl.obolibrary.org/obo/MONDO_0005265	inflammatory bowel disease
http://purl.obolibrary.org/obo/MONDO_0019491	rare intellectual disability	http://purl.obolibrary.org/obo/MONDO_0001071	intellectual disability
http://purl.obolibrary.org/obo/MONDO_0015245	rare intestinal disease	http://purl.obolibrary.org/obo/MONDO_0005020	intestinal disease
http://purl.obolibrary.org/obo/MONDO_0015224	rare intoxication	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning
http://purl.obolibrary.org/obo/MONDO_0020192	rare lacrimal system disease	http://purl.obolibrary.org/obo/MONDO_0001854	lacrimal apparatus disease
http://purl.obolibrary.org/obo/MONDO_0016766	rare lichen planus	http://purl.obolibrary.org/obo/MONDO_0006572	lichen planus
http://purl.obolibrary.org/obo/MONDO_0020025	rare male infertility	http://purl.obolibrary.org/obo/MONDO_0005372	male infertility
http://purl.obolibrary.org/obo/MONDO_0015870	rare malignant breast tumor	http://purl.obolibrary.org/obo/MONDO_0007254	breast cancer
