iri,iri label,v0,v0 label
http://purl.obolibrary.org/obo/MONDO_0004053,Bartholin gland squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000460,major vestibular gland
http://purl.obolibrary.org/obo/MONDO_0003490,ampulla of vater squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0004913,hepatopancreatic ampulla
http://purl.obolibrary.org/obo/MONDO_0004132,anal canal squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000159,anal canal
http://purl.obolibrary.org/obo/MONDO_0001470,anal margin squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0012336,perianal skin
http://purl.obolibrary.org/obo/MONDO_0006082,anal squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001245,anus
http://purl.obolibrary.org/obo/MONDO_0002760,bladder squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001255,urinary bladder
http://purl.obolibrary.org/obo/MONDO_0000514,bone squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002481,bone tissue
http://purl.obolibrary.org/obo/MONDO_0006143,cervical squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix
http://purl.obolibrary.org/obo/MONDO_0006165,colorectal squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0012652,colorectum
http://purl.obolibrary.org/obo/MONDO_0006173,conjunctival squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001811,conjunctiva
http://purl.obolibrary.org/obo/MONDO_0001740,cornea squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000964,cornea
http://purl.obolibrary.org/obo/MONDO_0006198,endometrial squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001295,endometrium
http://purl.obolibrary.org/obo/MONDO_0005580,esophageal squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001043,esophagus
http://purl.obolibrary.org/obo/MONDO_0002416,ethmoid sinus squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002453,ethmoid sinus
http://purl.obolibrary.org/obo/MONDO_0003501,external ear squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001691,external ear
http://purl.obolibrary.org/obo/MONDO_0006203,extrahepatic bile duct squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0003703,extrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0003503,fallopian tube squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0003889,fallopian tube
http://purl.obolibrary.org/obo/MONDO_0002301,frontal sinus squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001760,frontal sinus
http://purl.obolibrary.org/obo/MONDO_0006220,gallbladder squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002110,gall bladder
http://purl.obolibrary.org/obo/MONDO_0006230,gastric squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000945,stomach
http://purl.obolibrary.org/obo/MONDO_0004080,glottis squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002486,glottis
http://purl.obolibrary.org/obo/MONDO_0010150,head and neck squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0007811,craniocervical region
http://purl.obolibrary.org/obo/MONDO_0044638,hypopharynx squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001051,hypopharynx
http://purl.obolibrary.org/obo/MONDO_0003492,lacrimal gland squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001817,lacrimal gland
