iri	iri label	disease	disease label
MONDO:0019624	acquired angioedema	MONDO:0010481	angioedema
MONDO:0019846	acquired central diabetes insipidus	MONDO:0015790	central diabetes insipidus
MONDO:0015130	acquired chronic primary adrenal insufficiency	MONDO:0015129	chronic primary adrenal insufficiency
MONDO:0016446	acquired cutis laxa	MONDO:0016175	cutis laxa
MONDO:0016434	acquired dermis elastic tissue disorder	MONDO:0019292	dermis elastic tissue disorder
MONDO:0018747	acquired epidermolysis bullosa	MONDO:0006541	epidermolysis bullosa
MONDO:0021134	acquired factor X deficiency	MONDO:0002247	factor X deficiency
MONDO:0021133	acquired factor XIII deficiency	MONDO:0002241	factor XIII deficiency
MONDO:0003206	acquired hemangioma	MONDO:0006500	hemangioma
MONDO:0019139	acquired hemophilia	MONDO:0018660	hemophilia
MONDO:0018683	acquired ichthyosis	MONDO:0019269	ichthyosis (disease)
MONDO:0006522	acquired keratosis	MONDO:0006566	keratosis
MONDO:0020089	acquired lipodystrophy	MONDO:0006573	lipodystrophy (disease)
MONDO:0006504	acquired metabolic disease	MONDO:0005066	metabolic disease
MONDO:0020129	acquired motor neuron disease	MONDO:0020128	motor neuron disease
MONDO:0020125	acquired neuromuscular junction disease	MONDO:0020124	neuromuscular junction disease
MONDO:0015822	acquired neutropenia	MONDO:0001475	neutropenia
MONDO:0001296	acquired night blindness	MONDO:0004588	night blindness
MONDO:0015923	acquired peripheral neuropathy	MONDO:0005244	peripheral neuropathy
MONDO:0019832	acquired pituitary hormone deficiency	MONDO:0005152	hypopituitarism
MONDO:0002438	acquired polycythemia	MONDO:0005571	polycythemia
MONDO:0017815	acquired porencephaly	MONDO:0017410	porencephaly
MONDO:0016990	acquired prothrombin deficiency	MONDO:0013361	prothrombin deficiency
MONDO:0016441	acquired pseudoxanthoma elasticum	MONDO:0009925	pseudoxanthoma elasticum
MONDO:0018854	acquired purpura fulminans	MONDO:0000809	purpura fulminans
MONDO:0021142	acquired rippling muscle disease	MONDO:0011634	rippling muscle disease
MONDO:0018839	acquired schizencephaly	MONDO:0010011	schizencephaly
MONDO:0016541	acquired secondary polycythemia	MONDO:0020115	secondary polycythemia
MONDO:0016105	acquired skeletal muscle disease	MONDO:0020120	skeletal muscle disease
MONDO:0001198	acquired thrombocytopenia	MONDO:0002049	thrombocytopenia
MONDO:0019740	acquired thrombotic thrombocytopenic purpura	MONDO:0018896	thrombotic thrombocytopenic purpura
MONDO:0020460	acquired von willebrand syndrome	MONDO:0019565	von willebrand disease
MONDO:0012579	autoimmune pulmonary alveolar proteinosis	MONDO:0001437	pulmonary alveolar proteinosis
MONDO:0018740	drug-induced methemoglobinemia	MONDO:0001117	methemoglobinemia
MONDO:0015542	secondary hemophagocytic lymphohistiocytosis	MONDO:0015540	hemophagocytic syndrome
