iri,iri label,disease,disease label
http://purl.obolibrary.org/obo/MONDO_0007573,"acute erythroleukemia, familial",http://purl.obolibrary.org/obo/MONDO_0017858,acute erythroid leukemia
http://purl.obolibrary.org/obo/MONDO_0008734,"adrenocortical carcinoma, hereditary",http://purl.obolibrary.org/obo/MONDO_0006639,adrenal cortex carcinoma
http://purl.obolibrary.org/obo/MONDO_0013743,autosomal systemic lupus erythematosus,http://purl.obolibrary.org/obo/MONDO_0007915,systemic lupus erythematosus (disease)
http://purl.obolibrary.org/obo/MONDO_0007329,"cirrhosis, familial",http://purl.obolibrary.org/obo/MONDO_0005155,cirrhosis of liver
http://purl.obolibrary.org/obo/MONDO_0007344,"cluster headache, familial",http://purl.obolibrary.org/obo/MONDO_0043537,cluster headache syndrome
http://purl.obolibrary.org/obo/MONDO_0009210,congenital factor V deficiency,http://purl.obolibrary.org/obo/MONDO_0020586,factor V deficiency
http://purl.obolibrary.org/obo/MONDO_0012897,congenital factor XI deficiency,http://purl.obolibrary.org/obo/MONDO_0020587,factor XI deficiency
http://purl.obolibrary.org/obo/MONDO_0006536,congenital generalized lipodystrophy (disease),http://purl.obolibrary.org/obo/MONDO_0027766,generalized lipodystrophy
http://purl.obolibrary.org/obo/MONDO_0020398,congenital mitral stenosis (disease),http://purl.obolibrary.org/obo/MONDO_0005852,mitral valve stenosis
http://purl.obolibrary.org/obo/MONDO_0013361,congenital prothrombin deficiency,http://purl.obolibrary.org/obo/MONDO_0024307,prothrombin deficiency
http://purl.obolibrary.org/obo/MONDO_0010122,congenital thrombotic thrombocytopenic purpura,http://purl.obolibrary.org/obo/MONDO_0018896,thrombotic thrombocytopenic purpura
http://purl.obolibrary.org/obo/MONDO_0011024,"dermatitis herpetiformis, familial",http://purl.obolibrary.org/obo/MONDO_0015614,dermatitis herpetiformis
http://purl.obolibrary.org/obo/MONDO_0007563,"epistaxis, hereditary",http://purl.obolibrary.org/obo/MONDO_0005305,epistaxis
http://purl.obolibrary.org/obo/MONDO_0007031,familial abdominal aortic aneurysm,http://purl.obolibrary.org/obo/MONDO_0005350,abdominal aortic aneurysm
http://purl.obolibrary.org/obo/MONDO_0043003,familial acanthosis nigricans,http://purl.obolibrary.org/obo/MONDO_0007035,acanthosis nigricans (disease)
http://purl.obolibrary.org/obo/MONDO_0024516,familial acne inversa,http://purl.obolibrary.org/obo/MONDO_0006559,hidradenitis suppurativa
http://purl.obolibrary.org/obo/MONDO_0005144,familial amyotrophic lateral sclerosis,http://purl.obolibrary.org/obo/MONDO_0004976,amyotrophic lateral sclerosis
http://purl.obolibrary.org/obo/MONDO_0018054,familial atrial fibrillation,http://purl.obolibrary.org/obo/MONDO_0004981,atrial fibrillation (disease)
http://purl.obolibrary.org/obo/MONDO_0005217,familial cardiomyopathy,http://purl.obolibrary.org/obo/MONDO_0004994,cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0007291,familial cerebral cavernous malformation,http://purl.obolibrary.org/obo/MONDO_0000820,cerebral cavernous malformation
http://purl.obolibrary.org/obo/MONDO_0018212,familial cervical artery dissection,http://purl.obolibrary.org/obo/MONDO_0006061,cervical artery dissection
http://purl.obolibrary.org/obo/MONDO_0018827,familial chilblain lupus,http://purl.obolibrary.org/obo/MONDO_0019557,chilblain lupus
http://purl.obolibrary.org/obo/MONDO_0023113,familial colorectal cancer,http://purl.obolibrary.org/obo/MONDO_0005575,colorectal cancer
http://purl.obolibrary.org/obo/MONDO_0007626,familial congenital palsy of trochlear nerve,http://purl.obolibrary.org/obo/MONDO_0001146,fourth cranial nerve palsy
http://purl.obolibrary.org/obo/MONDO_0024462,familial cutaneous melanoma,http://purl.obolibrary.org/obo/MONDO_0005012,cutaneous melanoma (disease)
http://purl.obolibrary.org/obo/MONDO_0019741,familial cystic renal disease,http://purl.obolibrary.org/obo/MONDO_0002473,cystic kidney disease
http://purl.obolibrary.org/obo/MONDO_0016333,familial dilated cardiomyopathy,http://purl.obolibrary.org/obo/MONDO_0005021,dilated cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0004424,familial glomangioma,http://purl.obolibrary.org/obo/MONDO_0002299,glomangioma
http://purl.obolibrary.org/obo/MONDO_0000700,familial hemiplegic migraine,http://purl.obolibrary.org/obo/MONDO_0023310,hemiplegic migraine
http://purl.obolibrary.org/obo/MONDO_0003689,familial hemolytic anemia,http://purl.obolibrary.org/obo/MONDO_0003664,hemolytic anemia
http://purl.obolibrary.org/obo/MONDO_0016525,familial hyperaldosteronism,http://purl.obolibrary.org/obo/MONDO_0003009,hyperaldosteronism
http://purl.obolibrary.org/obo/MONDO_0017182,familial hyperinsulinism,http://purl.obolibrary.org/obo/MONDO_0002177,hyperinsulinism (disease)
http://purl.obolibrary.org/obo/MONDO_0001336,familial hyperlipidemia,http://purl.obolibrary.org/obo/MONDO_0021187,hyperlipidemia (disease)
http://purl.obolibrary.org/obo/MONDO_0014250,familial hyperprolactinemia,http://purl.obolibrary.org/obo/MONDO_0005804,hyperprolactinemia (disease)
http://purl.obolibrary.org/obo/MONDO_0024573,familial hypertrophic cardiomyopathy,http://purl.obolibrary.org/obo/MONDO_0005045,hypertrophic cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0044816,familial idiopathic torsion dystonia,http://purl.obolibrary.org/obo/MONDO_0044811,idiopathic torsion dystonia
http://purl.obolibrary.org/obo/MONDO_0010080,familial infantile bilateral striatal necrosis,http://purl.obolibrary.org/obo/MONDO_0015518,infantile bilateral striatal necrosis
http://purl.obolibrary.org/obo/MONDO_0017290,familial intrahepatic cholestasis,http://purl.obolibrary.org/obo/MONDO_0019072,intrahepatic cholestasis
http://purl.obolibrary.org/obo/MONDO_0018851,familial keratoacanthoma,http://purl.obolibrary.org/obo/MONDO_0002527,keratoacanthoma
http://purl.obolibrary.org/obo/MONDO_0023616,familial leiomyomatosis,http://purl.obolibrary.org/obo/MONDO_0003295,leiomyomatosis
http://purl.obolibrary.org/obo/MONDO_0019171,familial long QT syndrome,http://purl.obolibrary.org/obo/MONDO_0002442,long QT syndrome
http://purl.obolibrary.org/obo/MONDO_0007958,familial medullary thyroid carcinoma,http://purl.obolibrary.org/obo/MONDO_0015277,medullary thyroid gland carcinoma
http://purl.obolibrary.org/obo/MONDO_0018961,familial melanoma,http://purl.obolibrary.org/obo/MONDO_0005105,melanoma (disease)
http://purl.obolibrary.org/obo/MONDO_0011789,familial meningioma,http://purl.obolibrary.org/obo/MONDO_0016642,meningioma (disease)
http://purl.obolibrary.org/obo/MONDO_0008004,familial mitral valve prolapse,http://purl.obolibrary.org/obo/MONDO_0004910,mitral valve prolapse (disease)
http://purl.obolibrary.org/obo/MONDO_0007681,familial multinodular goiter,http://purl.obolibrary.org/obo/MONDO_0000334,multinodular goiter
http://purl.obolibrary.org/obo/MONDO_0002350,familial nephrotic syndrome,http://purl.obolibrary.org/obo/MONDO_0005377,nephrotic syndrome
http://purl.obolibrary.org/obo/MONDO_0007660,familial ossifying fibroma,http://purl.obolibrary.org/obo/MONDO_0002119,ossifying fibroma (disease)
http://purl.obolibrary.org/obo/MONDO_0042973,familial osteosclerosis,http://purl.obolibrary.org/obo/MONDO_0002933,osteosclerosis
http://purl.obolibrary.org/obo/MONDO_0016248,familial ovarian cancer,http://purl.obolibrary.org/obo/MONDO_0008170,ovarian cancer
http://purl.obolibrary.org/obo/MONDO_0004033,familial ovarian carcinoma,http://purl.obolibrary.org/obo/MONDO_0005140,ovarian carcinoma
http://purl.obolibrary.org/obo/MONDO_0015278,familial pancreatic carcinoma,http://purl.obolibrary.org/obo/MONDO_0005192,exocrine pancreatic carcinoma
http://purl.obolibrary.org/obo/MONDO_0020523,familial parathyroid adenoma,http://purl.obolibrary.org/obo/MONDO_0006890,parathyroid gland adenoma
http://purl.obolibrary.org/obo/MONDO_0017704,familial partial epilepsy,http://purl.obolibrary.org/obo/MONDO_0005384,partial epilepsy
http://purl.obolibrary.org/obo/MONDO_0000995,familial periodic paralysis,http://purl.obolibrary.org/obo/MONDO_0016122,periodic paralysis (disease)
http://purl.obolibrary.org/obo/MONDO_0024351,familial pityriasis rubra pilaris,http://purl.obolibrary.org/obo/MONDO_0008251,pityriasis rubra pilaris
http://purl.obolibrary.org/obo/MONDO_0001115,familial polycythemia,http://purl.obolibrary.org/obo/MONDO_0005571,polycythemia (disease)
