iri	iri label	disease	disease label
MONDO:0001090	acute anterolateral myocardial infarction	MONDO:0006652	anterolateral myocardial infarction
MONDO:0001081	acute cervicitis	MONDO:0002345	cervicitis (disease)
MONDO:0001930	acute cholangitis	MONDO:0004789	cholangitis
MONDO:0001817	acute closed-angle glaucoma	MONDO:0001744	angle-closure glaucoma
MONDO:0001214	acute conjunctivitis	MONDO:0003799	conjunctivitis (disease)
MONDO:0004598	acute cor pulmonale	MONDO:0004596	cor pulmonale
MONDO:0001650	acute cystitis (disease)	MONDO:0006032	cystitis
MONDO:0004812	acute dacryoadenitis	MONDO:0004804	dacryoadenitis
MONDO:0001610	acute dacryocystitis	MONDO:0004926	dacryocystitis
MONDO:0000257	acute diarrhea	MONDO:0001673	diarrhea
MONDO:0001871	acute diffuse glomerulonephritis	MONDO:0003137	diffuse glomerulonephritis
MONDO:0004265	acute endometritis	MONDO:0000918	endometritis
MONDO:0017202	acute endophthalmitis	MONDO:0016047	endophthalmitis
MONDO:0004810	acute ethmoiditis	MONDO:0005756	ethmoid sinusitis
MONDO:0001912	acute frontal sinusitis	MONDO:0001121	frontal sinusitis
MONDO:0020546	acute graft versus host disease	MONDO:0013730	graft versus host disease
MONDO:0005174	acute hypotension	MONDO:0005468	hypotension (disease)
MONDO:0002492	acute kidney failure	MONDO:0001106	kidney failure
MONDO:0004777	acute laryngitis	MONDO:0002647	laryngitis
MONDO:0004967	acute lymphoblastic leukemia (disease)	MONDO:0001018	lymphoblastic leukemia
MONDO:0002186	acute maxillary sinusitis	MONDO:0005842	maxillary sinusitis
MONDO:0007896	acute monocytic leukemia	MONDO:0004600	monocytic leukemia
MONDO:0018874	acute myeloid leukemia	MONDO:0004643	myeloid leukemia
MONDO:0004781	acute myocardial infarction	MONDO:0005068	myocardial infarction (disease)
MONDO:0002815	acute myocarditis	MONDO:0004496	myocarditis
MONDO:0006515	acute pancreatitis	MONDO:0004982	pancreatitis
MONDO:0001028	acute pericementitis	MONDO:0005076	periodontitis
MONDO:0002240	acute perichondritis of pinna	MONDO:0002246	perichondritis of auricle
MONDO:0002520	acute porphyria	MONDO:0019142	porphyria
MONDO:0001644	acute proliferative glomerulonephritis	MONDO:0003134	proliferative glomerulonephritis
MONDO:0003529	acute pyelonephritis	MONDO:0006939	pyelonephritis
MONDO:0001208	acute respiratory failure	MONDO:0021113	respiratory failure
MONDO:0001173	acute salpingitis	MONDO:0003619	salpingitis
MONDO:0001171	acute salpingo-oophoritis	MONDO:0001172	salpingo-oophoritis
MONDO:0001624	acute sphenoidal sinusitis	MONDO:0005964	sphenoid sinusitis
MONDO:0001949	acute thyroiditis	MONDO:0004126	thyroiditis (disease)
MONDO:0002738	acute transudative otitis media	MONDO:0001212	non-suppurative otitis media
MONDO:0001031	purulent acute otitis media	MONDO:0005975	suppurative otitis media
