iri,iri label,agent,agent label
MONDO:0003471,Pediculus humanus capitis infestation,NCBITaxon:121226,Pediculus humanus capitis
MONDO:0003482,Pediculus humanus corporis infestation,NCBITaxon:121224,Pediculus humanus corporis
MONDO:0001794,Pthirus pubis infestation,NCBITaxon:121228,Pthirus pubis
MONDO:0001026,bacterial infectious disease,NCBITaxon:2,Bacteria
MONDO:0001532,capillariasis,NCBITaxon:119095,Capillaria
MONDO:0002041,fungal infectious disease,NCBITaxon:4751,Fungi
MONDO:0004277,gonorrhea,NCBITaxon:485,Neisseria gonorrhoeae
MONDO:0004662,heterophyiasis,NCBITaxon:104454,Heterophyes
MONDO:0003472,lice infestation,NCBITaxon:121225,Pediculus humanus
MONDO:0005373,meningococcal infection,NCBITaxon:487,Neisseria meningitidis
MONDO:0004666,metagonimiasis,NCBITaxon:84529,Metagonimus yokogawai
MONDO:0002594,monkeypox,NCBITaxon:10244,Monkeypox virus
MONDO:0000290,primary amebic meningoencephalitis,NCBITaxon:5763,Naegleria fowleri
MONDO:0001577,respiratory syncytial virus infectious disease,NCBITaxon:11250,Human respiratory syncytial virus
MONDO:0000827,salmonellosis,NCBITaxon:590,Salmonella
MONDO:0000367,taeniasis,NCBITaxon:6202,Taenia
MONDO:0002154,trichomoniasis,NCBITaxon:5721,Trichomonas
MONDO:0001246,typhus,NCBITaxon:780,Rickettsia
MONDO:0005108,viral disease,NCBITaxon:10239,Viruses
