iri	iri label	disease	disease label
MONDO:0016520	isolated Klippel-Feil syndrome	MONDO:0001029	Klippel-Feil syndrome
MONDO:0016462	isolated agammaglobulinemia	MONDO:0015977	agammaglobulinemia
MONDO:0016764	isolated anophthalmia-microphthalmia syndrome	MONDO:0020147	anophthalmia-microphthalmia syndrome
MONDO:0018916	isolated anorectal malformation	MONDO:0019938	anorectal malformation
MONDO:0016043	isolated cleft lip	MONDO:0004747	cleft lip (disease)
MONDO:0007336	isolated cleft palate	MONDO:0016064	cleft palate
MONDO:0019627	isolated congenital alacrima	MONDO:0020194	congenital alacrima
MONDO:0020463	isolated congenital ectropion	MONDO:0020161	congenital ectropion
MONDO:0016553	isolated congenital hypogonadotropic hypogonadism	MONDO:0015770	congenital hypogonadotropic hypogonadism
MONDO:0015337	isolated craniosynostosis	MONDO:0015469	craniosynostosis
MONDO:0007410	isolated cryptophthalmia	MONDO:0020153	cryptophthalmia
MONDO:0017667	isolated diffuse palmoplantar keratoderma	MONDO:0017666	diffuse palmoplantar keratoderma
MONDO:0015494	isolated dystonia	MONDO:0003441	dystonia (disease)
MONDO:0017673	isolated focal palmoplantar keratoderma	MONDO:0017672	focal palmoplantar keratoderma
MONDO:0017089	isolated megalencephaly	MONDO:0016608	megalencephaly (disease)
MONDO:0019284	isolated nail anomaly	MONDO:0019283	nail anomaly
MONDO:0015634	isolated osteopoikilosis	MONDO:0001414	osteopoikilosis (disease)
MONDO:0008265	isolated polycystic liver disease	MONDO:0000447	polycystic liver disease (disease)
MONDO:0016518	isolated punctate palmoplantar keratoderma	MONDO:0017675	punctate palmoplantar keratoderma
MONDO:0019351	isolated spina bifida	MONDO:0008449	spina bifida (disease)
MONDO:0018065	isolated trigonocephaly	MONDO:0000156	trigonocephaly
MONDO:0019497	nonsyndromic deafness	MONDO:0005365	hearing loss
