# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_hasdbxref_hp.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2024-08-06/mappings/mondo_hasdbxref_hp.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MONDO:0000063	obsolete molybdenum cofactor deficiency	oboInOwl:hasDbXref	HP:0003570		semapv:ManualMappingCuration
MONDO:0000088	precocious puberty	oboInOwl:hasDbXref	HP:0000826		semapv:ManualMappingCuration
MONDO:0000094	obsolete spherocytosis	oboInOwl:hasDbXref	HP:0004444		semapv:ManualMappingCuration
MONDO:0000129	glutaric aciduria	oboInOwl:hasDbXref	HP:0003150		semapv:ManualMappingCuration
MONDO:0000129	glutaric aciduria	oboInOwl:hasDbXref	HP:0003530		semapv:ManualMappingCuration
MONDO:0000138	metaphyseal chondrodysplasia	oboInOwl:hasDbXref	HP:0005871		semapv:ManualMappingCuration
MONDO:0000190	ventricular fibrillation	oboInOwl:hasDbXref	HP:0001663		semapv:ManualMappingCuration
MONDO:0000249	secretory diarrhea	oboInOwl:hasDbXref	HP:0005208		semapv:ManualMappingCuration
MONDO:0000265	aspiration pneumonia	oboInOwl:hasDbXref	HP:0011951		semapv:ManualMappingCuration
MONDO:0000313	hypophosphatemia	oboInOwl:hasDbXref	HP:0002148		semapv:ManualMappingCuration
MONDO:0000328	hyperphosphatemia	oboInOwl:hasDbXref	HP:0002905		semapv:ManualMappingCuration
MONDO:0000351	disorder of methionine catabolism	oboInOwl:hasDbXref	HP:0003235		semapv:ManualMappingCuration
MONDO:0000365	primary congenital glaucoma	oboInOwl:hasDbXref	HP:0008007		semapv:ManualMappingCuration
MONDO:0000387	hypochromic microcytic anemia	oboInOwl:hasDbXref	HP:0004840		semapv:ManualMappingCuration
MONDO:0000447	autosomal dominant polycystic liver disease	oboInOwl:hasDbXref	HP:0006557		semapv:ManualMappingCuration
MONDO:0000465	atrioventricular block	oboInOwl:hasDbXref	HP:0001678		semapv:ManualMappingCuration
MONDO:0000495	oppositional defiant disorder	oboInOwl:hasDbXref	HP:0010865		semapv:ManualMappingCuration
MONDO:0000541	jejunal adenocarcinoma	oboInOwl:hasDbXref	HP:0030411		semapv:ManualMappingCuration
MONDO:0000671	finger agnosia	oboInOwl:hasDbXref	HP:0010525		semapv:ManualMappingCuration
MONDO:0000680	astereognosia	oboInOwl:hasDbXref	HP:0010527		semapv:ManualMappingCuration
MONDO:0000685	visual agnosia	oboInOwl:hasDbXref	HP:0030222		semapv:ManualMappingCuration
MONDO:0000728	ptosis	oboInOwl:hasDbXref	HP:0000508		semapv:ManualMappingCuration
MONDO:0000733	cornea plana	oboInOwl:hasDbXref	HP:0007720		semapv:ManualMappingCuration
MONDO:0000744	lung abscess	oboInOwl:hasDbXref	HP:0025044		semapv:ManualMappingCuration
MONDO:0000746	obsolete inguinal hernia	oboInOwl:hasDbXref	HP:0000023		semapv:ManualMappingCuration
MONDO:0000747	obsolete umbilical hernia	oboInOwl:hasDbXref	HP:0001537		semapv:ManualMappingCuration
MONDO:0000748	mastoiditis	oboInOwl:hasDbXref	HP:0000265		semapv:ManualMappingCuration
MONDO:0000751	cervical polyp	oboInOwl:hasDbXref	HP:0030159		semapv:ManualMappingCuration
MONDO:0000754	anal fistula	oboInOwl:hasDbXref	HP:0010447		semapv:ManualMappingCuration
MONDO:0000859	spina bifida occulta	oboInOwl:hasDbXref	HP:0003298		semapv:ManualMappingCuration
MONDO:0000866	hereditary myoglobinuria	oboInOwl:hasDbXref	HP:0002913		semapv:ManualMappingCuration
MONDO:0000945	venous insufficiency	oboInOwl:hasDbXref	HP:0005293		semapv:ManualMappingCuration
MONDO:0000980	aortic atherosclerosis	oboInOwl:hasDbXref	HP:0012397		semapv:ManualMappingCuration
MONDO:0001008	blepharophimosis	oboInOwl:hasDbXref	HP:0000581		semapv:ManualMappingCuration
MONDO:0001020	amblyopia	oboInOwl:hasDbXref	HP:0000646		semapv:ManualMappingCuration
MONDO:0001044	esophageal atresia	oboInOwl:hasDbXref	HP:0002032		semapv:ManualMappingCuration
MONDO:0001045	intestinal atresia	oboInOwl:hasDbXref	HP:0011100		semapv:ManualMappingCuration
MONDO:0001065	supine hypotensive syndrome	oboInOwl:hasDbXref	HP:0008071		semapv:ManualMappingCuration
MONDO:0001068	osteomalacia	oboInOwl:hasDbXref	HP:0002749		semapv:ManualMappingCuration
MONDO:0001075	steatorrhea	oboInOwl:hasDbXref	HP:0002570		semapv:ManualMappingCuration
MONDO:0001126	gastric ulcer	oboInOwl:hasDbXref	HP:0002592		semapv:ManualMappingCuration
MONDO:0001143	paralytic strabismus	oboInOwl:hasDbXref	HP:0031775		semapv:ManualMappingCuration
MONDO:0001147	meningocele	oboInOwl:hasDbXref	HP:0002435		semapv:ManualMappingCuration
MONDO:0001149	microcephaly	oboInOwl:hasDbXref	HP:0000252		semapv:ManualMappingCuration
MONDO:0001156	borderline personality disorder	oboInOwl:hasDbXref	HP:0012076		semapv:ManualMappingCuration
MONDO:0001210	enophthalmos	oboInOwl:hasDbXref	HP:0000490		semapv:ManualMappingCuration
MONDO:0001245	microcytic anemia	oboInOwl:hasDbXref	HP:0001935		semapv:ManualMappingCuration
MONDO:0001256	arteriovenous hemangioma/malformation	oboInOwl:hasDbXref	HP:0100026		semapv:ManualMappingCuration
MONDO:0001266	erysipelas	oboInOwl:hasDbXref	HP:0001055		semapv:ManualMappingCuration
MONDO:0001271	lens subluxation	oboInOwl:hasDbXref	HP:0001132		semapv:ManualMappingCuration
MONDO:0001280	choroiditis	oboInOwl:hasDbXref	HP:0012123		semapv:ManualMappingCuration
MONDO:0001303	abnormal pupillary function	oboInOwl:hasDbXref	HP:0007686		semapv:ManualMappingCuration
MONDO:0001305	laryngostenosis	oboInOwl:hasDbXref	HP:0001602		semapv:ManualMappingCuration
MONDO:0001306	obsolete recurrent corneal erosion	oboInOwl:hasDbXref	HP:0000495		semapv:ManualMappingCuration
MONDO:0001314	chondrocalcinosis	oboInOwl:hasDbXref	HP:0000934		semapv:ManualMappingCuration
MONDO:0001321	obsolete scleral staphyloma	oboInOwl:hasDbXref	HP:0030854		semapv:ManualMappingCuration
MONDO:0001342	dysgammaglobulinemia	oboInOwl:hasDbXref	HP:0002961		semapv:ManualMappingCuration
MONDO:0001357	hypochromic anemia	oboInOwl:hasDbXref	HP:0001931		semapv:ManualMappingCuration
MONDO:0001370	pericardial effusion	oboInOwl:hasDbXref	HP:0001698		semapv:ManualMappingCuration
MONDO:0001384	myopia	oboInOwl:hasDbXref	HP:0000545		semapv:ManualMappingCuration
MONDO:0001409	esophagitis	oboInOwl:hasDbXref	HP:0100633		semapv:ManualMappingCuration
MONDO:0001414	osteopoikilosis	oboInOwl:hasDbXref	HP:0010739		semapv:ManualMappingCuration
MONDO:0001445	obsolete neurogenic bladder	oboInOwl:hasDbXref	HP:0000011		semapv:ManualMappingCuration
MONDO:0001447	detrusor sphincter dyssynergia	oboInOwl:hasDbXref	HP:0025488		semapv:ManualMappingCuration
MONDO:0001475	neutropenia	oboInOwl:hasDbXref	HP:0001875		semapv:ManualMappingCuration
MONDO:0001478	anisometropia	oboInOwl:hasDbXref	HP:0012803		semapv:ManualMappingCuration
MONDO:0001519	entropion	oboInOwl:hasDbXref	HP:0000621		semapv:ManualMappingCuration
MONDO:0001552	dyscalculia	oboInOwl:hasDbXref	HP:0002442		semapv:ManualMappingCuration
MONDO:0001556	urethral obstruction	oboInOwl:hasDbXref	HP:0000796		semapv:ManualMappingCuration
MONDO:0001561	pyloric stenosis	oboInOwl:hasDbXref	HP:0002021		semapv:ManualMappingCuration
MONDO:0001566	hypercalcemia disease	oboInOwl:hasDbXref	HP:0003072		semapv:ManualMappingCuration
MONDO:0001569	acoustic neuroma	oboInOwl:hasDbXref	HP:0009588		semapv:ManualMappingCuration
MONDO:0001571	gynecomastia disorder	oboInOwl:hasDbXref	HP:0000771		semapv:ManualMappingCuration
MONDO:0001595	choreatic disease	oboInOwl:hasDbXref	HP:0002072		semapv:ManualMappingCuration
MONDO:0001603	paralytic lagophthalmos	oboInOwl:hasDbXref	HP:0030003		semapv:ManualMappingCuration
MONDO:0001612	carotid stenosis	oboInOwl:hasDbXref	HP:0100546		semapv:ManualMappingCuration
