# curie_map:
#   ICD10WHO: https://icd.who.int/browse10/2019/en#/
#   icd11.foundation: http://id.who.int/icd/entity/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/who-icd10-to-icd11.sssom.tsv
# mapping_set_title: WHO ICD-10 to ICD-11 Foundation Mappings
# mapping_set_description: Mappings from ICD-10 codes to ICD-11 Foundation URIs
# mapping_date: 2025-10-21
# creator_id: https://github.com/monarch-initiative/mondo
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
ICD10WHO:I	Certain infectious and parasitic diseases	skos:broadMatch	icd11.foundation:1435254666	Certain infectious or parasitic diseases	semapv:ManualMappingCuration
ICD10WHO:A00-A09	Intestinal infectious diseases	skos:broadMatch	icd11.foundation:588616678	Gastroenteritis or colitis of infectious origin	semapv:ManualMappingCuration
ICD10WHO:A00	Cholera	skos:exactMatch	icd11.foundation:257068234	Cholera	semapv:ManualMappingCuration
ICD10WHO:A00.0	Cholera due to Vibrio cholerae 01, biovar cholerae	skos:exactMatch	icd11.foundation:1205958647	Cholera due to Vibrio cholerae O1, biovar cholerae	semapv:ManualMappingCuration
ICD10WHO:A00.1	Cholera due to Vibrio cholerae 01, biovar eltor	skos:exactMatch	icd11.foundation:581614179	Cholera due to Vibrio cholerae O1, biovar eltor	semapv:ManualMappingCuration
ICD10WHO:A00.9	Cholera, unspecified	skos:exactMatch	icd11.foundation:257068234	Cholera	semapv:ManualMappingCuration
ICD10WHO:A01	Typhoid and paratyphoid fevers	skos:broadMatch	icd11.foundation:1561949126	Intestinal infections due to Salmonella	semapv:ManualMappingCuration
ICD10WHO:A01.0	Typhoid fever	skos:exactMatch	icd11.foundation:1528414070	Typhoid fever	semapv:ManualMappingCuration
ICD10WHO:A01.1	Paratyphoid fever A	skos:exactMatch	icd11.foundation:1045590756	Paratyphoid fever A	semapv:ManualMappingCuration
ICD10WHO:A01.2	Paratyphoid fever B	skos:exactMatch	icd11.foundation:1258234397	Paratyphoid fever B	semapv:ManualMappingCuration
ICD10WHO:A01.3	Paratyphoid fever C	skos:exactMatch	icd11.foundation:800386953	Paratyphoid fever C	semapv:ManualMappingCuration
ICD10WHO:A01.4	Paratyphoid fever, unspecified	skos:broadMatch	icd11.foundation:1780040028	Paratyphoid fever	semapv:ManualMappingCuration
ICD10WHO:A02	Other salmonella infections	skos:exactMatch	icd11.foundation:515117475	Infections due to other Salmonella	semapv:ManualMappingCuration
ICD10WHO:A02.0	Salmonella enteritis	skos:exactMatch	icd11.foundation:1520312138	Salmonella enteritis	semapv:ManualMappingCuration
ICD10WHO:A02.1	Salmonella sepsis	skos:exactMatch	icd11.foundation:1070977756	Sepsis due to Salmonella infection without mention of septic shock	semapv:ManualMappingCuration
ICD10WHO:A02.2	Localized salmonella infections	skos:broadMatch	icd11.foundation:515117475	Infections due to other Salmonella	semapv:ManualMappingCuration
ICD10WHO:A02.8	Other specified salmonella infections	skos:exactMatch	icd11.foundation:515117475	Infections due to other Salmonella	semapv:ManualMappingCuration
ICD10WHO:A02.9	Salmonella infection, unspecified	skos:broadMatch	icd11.foundation:520429137	Bacterial infection of unspecified site	semapv:ManualMappingCuration
ICD10WHO:A03	Shigellosis	skos:exactMatch	icd11.foundation:2080365623	Intestinal infections due to Shigella	semapv:ManualMappingCuration
ICD10WHO:A03.0	Shigellosis due to Shigella dysenteriae	skos:exactMatch	icd11.foundation:1181145033	Shigellosis due to Shigella dysenteriae	semapv:ManualMappingCuration
ICD10WHO:A03.1	Shigellosis due to Shigella flexneri	skos:exactMatch	icd11.foundation:590158429	Shigellosis due to Shigella flexneri	semapv:ManualMappingCuration
ICD10WHO:A03.2	Shigellosis due to Shigella boydii	skos:exactMatch	icd11.foundation:1468025508	Shigellosis due to Shigella boydii	semapv:ManualMappingCuration
ICD10WHO:A03.3	Shigellosis due to Shigella sonnei	skos:exactMatch	icd11.foundation:852199222	Shigellosis due to Shigella sonnei	semapv:ManualMappingCuration
ICD10WHO:A03.8	Other shigellosis	skos:broadMatch	icd11.foundation:520429137	Bacterial infection of unspecified site	semapv:ManualMappingCuration
ICD10WHO:A03.9	Shigellosis, unspecified	skos:exactMatch	icd11.foundation:2080365623	Intestinal infections due to Shigella	semapv:ManualMappingCuration
ICD10WHO:A04	Other bacterial intestinal infections	skos:broadMatch	icd11.foundation:135352227	Bacterial intestinal infections	semapv:ManualMappingCuration
ICD10WHO:A04.0	Enteropathogenic Escherichia coli infection	skos:exactMatch	icd11.foundation:2099226249	Enteropathogenic Escherichia coli infection	semapv:ManualMappingCuration
ICD10WHO:A04.1	Enterotoxigenic Escherichia coli infection	skos:exactMatch	icd11.foundation:408185629	Enterotoxigenic Escherichia coli infection	semapv:ManualMappingCuration
ICD10WHO:A04.2	Enteroinvasive Escherichia coli infection	skos:exactMatch	icd11.foundation:1828273122	Enteroinvasive Escherichia coli infection	semapv:ManualMappingCuration
ICD10WHO:A04.3	Enterohaemorrhagic Escherichia coli infection	skos:exactMatch	icd11.foundation:162723448	Enterohaemorrhagic Escherichia coli infection	semapv:ManualMappingCuration
ICD10WHO:A04.4	Other intestinal Escherichia coli infections	skos:broadMatch	icd11.foundation:344162786	Intestinal infections due to Escherichia coli	semapv:ManualMappingCuration
ICD10WHO:A04.5	Campylobacter enteritis	skos:exactMatch	icd11.foundation:794462570	Gastroenteritis due to Campylobacter	semapv:ManualMappingCuration
ICD10WHO:A04.6	Enteritis due to Yersinia enterocolitica	skos:exactMatch	icd11.foundation:1000894786	Intestinal infections due to Yersinia enterocolitica	semapv:ManualMappingCuration
ICD10WHO:A04.7	Enterocolitis due to Clostridium difficile	skos:exactMatch	icd11.foundation:250688797	Intestinal infections due to Clostridioides difficile	semapv:ManualMappingCuration
ICD10WHO:A04.8	Other specified bacterial intestinal infections	skos:broadMatch	icd11.foundation:135352227	Bacterial intestinal infections	semapv:ManualMappingCuration
ICD10WHO:A04.9	Bacterial intestinal infection, unspecified	skos:exactMatch	icd11.foundation:135352227	Bacterial intestinal infections	semapv:ManualMappingCuration
ICD10WHO:A05	Other bacterial foodborne intoxications, not elsewhere classified	skos:broadMatch	icd11.foundation:1834648119	Bacterial foodborne intoxications	semapv:ManualMappingCuration
ICD10WHO:A05.0	Foodborne staphylococcal intoxication	skos:exactMatch	icd11.foundation:1642556936	Foodborne staphylococcal intoxication	semapv:ManualMappingCuration
ICD10WHO:A05.1	Botulism	skos:exactMatch	icd11.foundation:78422942	Botulism	semapv:ManualMappingCuration
ICD10WHO:A05.2	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	skos:exactMatch	icd11.foundation:1879176035	Foodborne Clostridium perfringens intoxication	semapv:ManualMappingCuration
ICD10WHO:A05.3	Foodborne Vibrio parahaemolyticus intoxication	skos:broadMatch	icd11.foundation:1834648119	Bacterial foodborne intoxications	semapv:ManualMappingCuration
ICD10WHO:A05.4	Foodborne Bacillus cereus intoxication	skos:exactMatch	icd11.foundation:1722068323	Foodborne Bacillus cereus intoxication	semapv:ManualMappingCuration
ICD10WHO:A05.8	Other specified bacterial foodborne intoxications	skos:broadMatch	icd11.foundation:1834648119	Bacterial foodborne intoxications	semapv:ManualMappingCuration
ICD10WHO:A05.9	Bacterial foodborne intoxication, unspecified	skos:exactMatch	icd11.foundation:1834648119	Bacterial foodborne intoxications	semapv:ManualMappingCuration
ICD10WHO:A06	Amoebiasis	skos:exactMatch	icd11.foundation:435671752	Amoebiasis	semapv:ManualMappingCuration
ICD10WHO:A06.0	Acute amoebic dysentery	skos:exactMatch	icd11.foundation:1616956984	Acute amoebiasis	semapv:ManualMappingCuration
ICD10WHO:A06.1	Chronic intestinal amoebiasis	skos:exactMatch	icd11.foundation:86705058	Chronic amoebiasis	semapv:ManualMappingCuration
ICD10WHO:A06.2	Amoebic nondysenteric colitis	skos:broadMatch	icd11.foundation:1959427510	Amoebic nondysenteric colitis	semapv:ManualMappingCuration
ICD10WHO:A06.3	Amoeboma of intestine	skos:exactMatch	icd11.foundation:349019849	Amoeboma of intestine	semapv:ManualMappingCuration
