# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2020-01-01'
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/release/v2021-09-03/mappings/mondo_hasdbxref_mondo.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	match_type
MONDO:0014857	neurodevelopmental disorder with or without anomalies of the brain, eye, or heart	oboInOwl:hasDbXref	MONDO:0044630	HumanCurated
MONDO:0000889	haemophilus meningitis	oboInOwl:hasDbXref	MONDO:0006775	HumanCurated
MONDO:0018467	nephropathic infantile cystinosis	oboInOwl:hasDbXref	MONDO:0009065	HumanCurated
MONDO:0006170	conjunctival disorder	oboInOwl:hasDbXref	MONDO:0002932	HumanCurated
MONDO:0021697	chlamydia infectious disease	oboInOwl:hasDbXref	MONDO:0006697	HumanCurated
MONDO:0008318	Proteus syndrome	oboInOwl:hasDbXref	MONDO:0023663	HumanCurated
MONDO:0016290	Hernández-Aguirre Negrete syndrome	oboInOwl:hasDbXref	MONDO:0022314	HumanCurated
MONDO:0018959	potassium-aggravated myotonia	oboInOwl:hasDbXref	MONDO:0012026	HumanCurated
MONDO:0015661	dextrocardia	oboInOwl:hasDbXref	MONDO:0004823	HumanCurated
MONDO:0007012	variant Creutzfeldt-Jakob disease	oboInOwl:hasDbXref	MONDO:0005409	HumanCurated
MONDO:0005645	ancylostomiasis	oboInOwl:hasDbXref	MONDO:0019184	HumanCurated
MONDO:0019947	rippling muscle disease 2	oboInOwl:hasDbXref	MONDO:0011910	HumanCurated

