# comment: The latest OMIM is integrated with every Mondo release.
# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   OMIM: http://omim.org/entry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2022-02-11'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_narrowmatch_omim.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-03-07/mappings/mondo_narrowmatch_omim.sssom.tsv
# object_source: https://www.omim.org/
# object_source_version: http://www.orphadata.org/data/ORDO/ordo_orphanet_3.1.owl
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type	subject_label
MONDO:0018214	skos:narrowMatch	OMIM:611277	HumanCurated	generalized epilepsy with febrile seizures plus
MONDO:0016489	skos:narrowMatch	OMIM:141749	HumanCurated	delta-beta-thalassemia
MONDO:0016006	skos:narrowMatch	OMIM:216411	HumanCurated	Cockayne syndrome
MONDO:0015912	skos:narrowMatch	OMIM:153650	HumanCurated	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss
MONDO:0008264	skos:narrowMatch	OMIM:609886	HumanCurated	autosomal dominant medullary cystic kidney disease with or without hyperuricemia
MONDO:0008264	skos:narrowMatch	OMIM:603860	HumanCurated	autosomal dominant medullary cystic kidney disease with or without hyperuricemia
MONDO:0005029	skos:narrowMatch	OMIM:300331	HumanCurated	essential thrombocythemia
MONDO:0019111	skos:narrowMatch	OMIM:300331	HumanCurated	familial thrombocytosis
MONDO:0015254	skos:narrowMatch	OMIM:181460	HumanCurated	schistosomiasis

