# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_broadmatch_icd10cm.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2024-06-04/mappings/mondo_broadmatch_icd10cm.sssom.tsv
# object_source: https://www.icd10data.com/
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MONDO:0008471	spondyloepiphyseal dysplasia congenita	skos:broadMatch	ICD10CM:Q77.7	Spondyloepiphyseal dysplasia	semapv:ManualMappingCuration
MONDO:0012391	neuronal ceroid lipofuscinosis 8 northern epilepsy variant	skos:broadMatch	ICD10CM:G40.3	Generalized idiopathic epilepsy and epileptic syndromes	semapv:ManualMappingCuration
MONDO:0021172	Timothy syndrome, atypical type	skos:broadMatch	ICD10CM:I49.8	Other specified cardiac arrhythmias	semapv:ManualMappingCuration
MONDO:0021690	obsolete congenital left ventricular aneurysm	skos:broadMatch	ICD10CM:Q24.8	Other specified congenital malformations of heart	semapv:ManualMappingCuration
MONDO:0024318	viral infection of central nervous system	skos:broadMatch	ICD10CM:A80-A89	Viral and prion infections of the central nervous system (A80-A89)	semapv:ManualMappingCuration
MONDO:0026419	obsolete isolated corpus callosum agenesis	skos:broadMatch	ICD10CM:Q04.0	Congenital malformations of corpus callosum	semapv:ManualMappingCuration
MONDO:0029051	obsolete autosomal recessive nail dysplasia	skos:broadMatch	ICD10CM:Q84.6	Other congenital malformations of nails	semapv:ManualMappingCuration
MONDO:0031322	triopia	skos:broadMatch	ICD10CM:Q15.8	Other specified congenital malformations of eye	semapv:ManualMappingCuration
MONDO:0031689	obsolete genetic progeroid syndrome	skos:broadMatch	ICD10CM:E34.8	Other specified endocrine disorders	semapv:ManualMappingCuration
MONDO:0034733	obsolete cochlear nerve deficiency	skos:broadMatch	ICD10CM:H93.3	Disorders of acoustic nerve	semapv:ManualMappingCuration
MONDO:0034978	isolated foveal hypoplasia	skos:broadMatch	ICD10CM:H35.8	Other specified retinal disorders	semapv:ManualMappingCuration
MONDO:0034979	obsolete peripapillary staphyloma	skos:broadMatch	ICD10CM:Q14.2	Congenital malformation of optic disc	semapv:ManualMappingCuration
MONDO:0034980	obsolete isolated megalopapilla	skos:broadMatch	ICD10CM:Q14.2	Congenital malformation of optic disc	semapv:ManualMappingCuration
MONDO:0034981	obsolete optic disk pit	skos:broadMatch	ICD10CM:Q14.2	Congenital malformation of optic disc	semapv:ManualMappingCuration
MONDO:0035149	secondary erythromelalgia	skos:broadMatch	ICD10CM:I73.8	Other specified peripheral vascular diseases	semapv:ManualMappingCuration
MONDO:0035159	dermoid or epidermoid cyst of the central nervous system	skos:broadMatch	ICD10CM:Q07.8	Other specified congenital malformations of nervous system	semapv:ManualMappingCuration
MONDO:0035161	progressive dementia with neuroserpin inclusion bodies	skos:broadMatch	ICD10CM:G40.3	Generalized idiopathic epilepsy and epileptic syndromes	semapv:ManualMappingCuration
MONDO:0035173	9q21.13 microdeletion syndrome	skos:broadMatch	ICD10CM:F78.1		semapv:ManualMappingCuration
MONDO:0035220	PLG-related hereditary angioedema with normal C1inh	skos:broadMatch	ICD10CM:D84.1	Defects in the complement system	semapv:ManualMappingCuration
MONDO:0035249	obsolete anomalous aortic origin of the left coronary artery	skos:broadMatch	ICD10CM:Q24.5	Malformation of coronary vessels	semapv:ManualMappingCuration
MONDO:0035250	obsolete anomalous aortic origin of the right coronary artery	skos:broadMatch	ICD10CM:Q24.5	Malformation of coronary vessels	semapv:ManualMappingCuration
MONDO:0035251	obsolete anomalous aortic origin of coronary artery	skos:broadMatch	ICD10CM:Q24.5	Malformation of coronary vessels	semapv:ManualMappingCuration
MONDO:0035252	obsolete anomalous origin of coronary artery from the pulmonary artery	skos:broadMatch	ICD10CM:Q24.5	Malformation of coronary vessels	semapv:ManualMappingCuration
MONDO:0035290	atypical hemolytic uremic syndrome with complement gene abnormality	skos:broadMatch	ICD10CM:D58.8	Other specified hereditary hemolytic anemias	semapv:ManualMappingCuration
MONDO:0035293	streptococcus pneumoniae-associated hemolytic uremic syndrome	skos:broadMatch	ICD10CM:D58.8	Other specified hereditary hemolytic anemias	semapv:ManualMappingCuration
MONDO:0035295	congenital primary megaureter, refluxing and obstructed form	skos:broadMatch	ICD10CM:Q62.2	Congenital megaureter	semapv:ManualMappingCuration
MONDO:0035312	fibrohistiocytic inflammatory pseudotumor of the liver	skos:broadMatch	ICD10CM:K75.8	Other specified inflammatory liver diseases	semapv:ManualMappingCuration
MONDO:0035313	lymphoplasmacytic inflammatory pseudotumor of the liver	skos:broadMatch	ICD10CM:K75.8	Other specified inflammatory liver diseases	semapv:ManualMappingCuration
MONDO:0035314	obsolete congenital tricuspid valve dysplasia	skos:broadMatch	ICD10CM:Q22.8	Other congenital malformations of tricuspid valve	semapv:ManualMappingCuration
MONDO:0035320	early-onset familial hypoaldosteronism	skos:broadMatch	ICD10CM:E27.4	Other and unspecified adrenocortical insufficiency	semapv:ManualMappingCuration
MONDO:0035321	late-onset familial hypoaldosteronism	skos:broadMatch	ICD10CM:E27.4	Other and unspecified adrenocortical insufficiency	semapv:ManualMappingCuration
MONDO:0035383	FOXG1 syndrome	skos:broadMatch	ICD10CM:F84.8	Other pervasive developmental disorders	semapv:ManualMappingCuration
MONDO:0035401	isolated anencephaly	skos:broadMatch	ICD10CM:Q00.0	Anencephaly	semapv:ManualMappingCuration
MONDO:0035402	isolated exencephaly	skos:broadMatch	ICD10CM:Q00.0	Anencephaly	semapv:ManualMappingCuration
MONDO:0035403	serous cystadenoma of childhood	skos:broadMatch	ICD10CM:D27	Benign neoplasm of ovary	semapv:ManualMappingCuration
MONDO:0035404	mucinous cystadenoma of childhood	skos:broadMatch	ICD10CM:D27	Benign neoplasm of ovary	semapv:ManualMappingCuration
MONDO:0035405	seromucinous cystadenoma of childhood	skos:broadMatch	ICD10CM:D27	Benign neoplasm of ovary	semapv:ManualMappingCuration
MONDO:0035410	isolated congenital aglossia	skos:broadMatch	ICD10CM:Q38.3	Other congenital malformations of tongue	semapv:ManualMappingCuration
MONDO:0035411	isolated congenital hypoglossia	skos:broadMatch	ICD10CM:Q38.3	Other congenital malformations of tongue	semapv:ManualMappingCuration
MONDO:0035423	triglyceride deposit cardiomyovasculopathy	skos:broadMatch	ICD10CM:E75.5	Other lipid storage disorders	semapv:ManualMappingCuration
MONDO:0035437	CEBPE-associated autoinflammation-immunodeficiency-neutrophil dysfunction syndrome	skos:broadMatch	ICD10CM:D89.8	Other specified disorders involving the immune mechanism, not elsewhere classified	semapv:ManualMappingCuration
MONDO:0035441	congenital autosomal recessive small-platelet thrombocytopenia	skos:broadMatch	ICD10CM:D69.4	Other primary thrombocytopenia	semapv:ManualMappingCuration
MONDO:0035444	acute mast cell leukemia	skos:broadMatch	ICD10CM:C94.3	Mast cell leukemia	semapv:ManualMappingCuration
MONDO:0035445	chronic mast cell leukemia	skos:broadMatch	ICD10CM:C94.3	Mast cell leukemia	semapv:ManualMappingCuration
MONDO:0035447	liver adenomatosis	skos:broadMatch	ICD10CM:D13.4	Benign neoplasm of liver	semapv:ManualMappingCuration
MONDO:0035459	idiopathic multidrug-resistant nephrotic syndrome	skos:broadMatch	ICD10CM:N04.8	Nephrotic syndrome with other morphologic changes	semapv:ManualMappingCuration
MONDO:0035460	idiopathic steroid-resistant nephrotic syndrome with sensitivity to second-line immunosuppressive therapy	skos:broadMatch	ICD10CM:N04.8	Nephrotic syndrome with other morphologic changes	semapv:ManualMappingCuration
MONDO:0035511	ricin poisoning	skos:broadMatch	ICD10CM:T62.2	Toxic effect of other ingested (parts of) plant(s)	semapv:ManualMappingCuration
MONDO:0035547	predisposition to severe viral infection due to IRF7 deficiency	skos:broadMatch	ICD10CM:D84.8	Other specified immunodeficiencies	semapv:ManualMappingCuration
MONDO:0035548	autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial jak1 deficiency	skos:broadMatch	ICD10CM:D84.8	Other specified immunodeficiencies	semapv:ManualMappingCuration
MONDO:0035551	cathepsin a-related arteriopathy-strokes-leukoencephalopathy	skos:broadMatch	ICD10CM:I67.8	Other specified cerebrovascular diseases	semapv:ManualMappingCuration
MONDO:0035584	punctate inner choroidopathy	skos:broadMatch	ICD10CM:H31.0	Chorioretinal scars	semapv:ManualMappingCuration
MONDO:0035586	Cramp-fasciculation syndrome	skos:broadMatch	ICD10CM:G90.8	Other disorders of autonomic nervous system	semapv:ManualMappingCuration
MONDO:0035592	congenital infiltrating lipomatosis of the face	skos:broadMatch	ICD10CM:Q87.3	Congenital malformation syndromes involving early overgrowth	semapv:ManualMappingCuration
MONDO:0035605	B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality	skos:broadMatch	ICD10CM:C91.0	Acute lymphoblastic leukemia [ALL]	semapv:ManualMappingCuration
MONDO:0035614	sporadic fatal insomnia	skos:broadMatch	ICD10CM:A81.9	Atypical virus infection of central nervous system, unspecified	semapv:ManualMappingCuration
MONDO:0035639	mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2)	skos:broadMatch	ICD10CM:C92.7		semapv:ManualMappingCuration
