# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   mesh: http://identifiers.org/mesh/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_hasdbxref_mesh.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2024-03-04/mappings/mondo_hasdbxref_mesh.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
MONDO:0000001	disease	oboInOwl:hasDbXref	mesh:D004194	semapv:ManualMappingCuration
MONDO:0000004	adrenocortical insufficiency	oboInOwl:hasDbXref	mesh:D000309	semapv:ManualMappingCuration
MONDO:0000022	nocturnal enuresis	oboInOwl:hasDbXref	mesh:D053206	semapv:ManualMappingCuration
MONDO:0000082	pelvic organ prolapse	oboInOwl:hasDbXref	mesh:D056887	semapv:ManualMappingCuration
MONDO:0000087	polymicrogyria	oboInOwl:hasDbXref	mesh:D065706	semapv:ManualMappingCuration
MONDO:0000088	precocious puberty	oboInOwl:hasDbXref	mesh:D011629	semapv:ManualMappingCuration
MONDO:0000104	anemia, hypochromic microcytic with iron overload	oboInOwl:hasDbXref	mesh:C567144	semapv:ManualMappingCuration
MONDO:0000107	auriculocondylar syndrome	oboInOwl:hasDbXref	mesh:C538270	semapv:ManualMappingCuration
MONDO:0000110	bifid nose	oboInOwl:hasDbXref	mesh:C535441	semapv:ManualMappingCuration
MONDO:0000115	Chiari malformation	oboInOwl:hasDbXref	mesh:D001139	semapv:ManualMappingCuration
MONDO:0000128	giant axonal neuropathy	oboInOwl:hasDbXref	mesh:D056768	semapv:ManualMappingCuration
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oboInOwl:hasDbXref	mesh:C537362	semapv:ManualMappingCuration
