# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_broadmatch_orphanet.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-03-15/mappings/mondo_broadmatch_orphanet.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type	subject_label
MONDO:0014550	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 15
MONDO:0014548	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 14
MONDO:0010590	skos:broadMatch	Orphanet:323	HumanCurated	FG syndrome 1
MONDO:0010366	skos:broadMatch	Orphanet:323	HumanCurated	FG syndrome 5
MONDO:0010316	skos:broadMatch	Orphanet:323	HumanCurated	FG syndrome 3
MONDO:0010318	skos:broadMatch	Orphanet:323	HumanCurated	FG syndrome 4
MONDO:0010297	skos:broadMatch	Orphanet:323	HumanCurated	FG syndrome 2
MONDO:0012737	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 10
MONDO:0012738	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 11
MONDO:0012736	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 9
MONDO:0009002	skos:broadMatch	Orphanet:194	HumanCurated	coloboma, ocular, autosomal recessive
MONDO:0024559	skos:broadMatch	Orphanet:229	HumanCurated	AAT1
MONDO:0013370	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 6
MONDO:0013372	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 5
MONDO:0013367	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 2
MONDO:0013279	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 13
MONDO:0013062	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 12
MONDO:0011377	skos:broadMatch	Orphanet:101016	HumanCurated	long QT syndrome 3
MONDO:0019625	skos:broadMatch	Orphanet:229	HumanCurated	familial thoracic aortic aneurysm and aortic dissection
MONDO:0007350	skos:broadMatch	Orphanet:194	HumanCurated	coloboma, ocular, autosomal dominant
MONDO:0010958	skos:broadMatch	Orphanet:101016	HumanCurated	cardiac arrhythmia, ankyrin-B-related
MONDO:0017774	skos:broadMatch	Orphanet:426	HumanCurated	hypobetalipoproteinemia

