# comment: The latest OMIM is integrated with every Mondo release.
# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   OMIM: http://omim.org/entry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2021-03-20'
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/release/v2021-09-03/mappings/mondo_closematch_omim.sssom.tsv
# object_source: https://www.omim.org/
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	match_type
MONDO:0014866	Charcot-Marie-Tooth disease axonal type 2T	skos:closeMatch	OMIM:616233	HumanCurated
MONDO:0014722	Roifman syndrome	skos:closeMatch	OMIM:300258	HumanCurated
MONDO:0014507	Catel-Manzke syndrome	skos:closeMatch	OMIM:302380	HumanCurated
MONDO:0009579	Frank-Ter Haar syndrome	skos:closeMatch	OMIM:211170	HumanCurated
MONDO:0010439	cardiomyopathy, fatal fetal, due to myocardial calcification	skos:closeMatch	OMIM:606163	HumanCurated
MONDO:0024996	obsolete Usher syndrome, type 2b	skos:closeMatch	OMIM:276905	HumanCurated
MONDO:0010234	obsolete body length, mouse, human homolog	skos:closeMatch	OMIM:300054	HumanCurated
MONDO:0022109	catatrichy	skos:closeMatch	OMIM:116850	HumanCurated
MONDO:0022018	Borrone di Rocco Crovato syndrome	skos:closeMatch	OMIM:211170	HumanCurated
MONDO:0000501	obsolete Jensen syndrome	skos:closeMatch	OMIM:311150	HumanCurated
MONDO:0018315	X-linked osteoporosis with fractures	skos:closeMatch	OMIM:300910	HumanCurated
MONDO:0043195	rubinstein taybi like syndrome	skos:closeMatch	OMIM:180850	HumanCurated
MONDO:0008689	dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema	skos:closeMatch	OMIM:603528	HumanCurated
MONDO:0008680	Wilms tumor 2	skos:closeMatch	OMIM:605982	HumanCurated
MONDO:0008747	oculocutaneous albinism type 3	skos:closeMatch	OMIM:278400	HumanCurated
MONDO:0008546	thanatophoric dysplasia type 1	skos:closeMatch	OMIM:270230	HumanCurated
MONDO:0008375	retinal detachment	skos:closeMatch	OMIM:312530	HumanCurated
MONDO:0016574	hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome	skos:closeMatch	OMIM:154000	HumanCurated
MONDO:0016331	infantile systemic hyalinosis	skos:closeMatch	OMIM:236490	HumanCurated
MONDO:0016035	Nelson syndrome	skos:closeMatch	OMIM:125530	HumanCurated
MONDO:0023696	Marinesco-Sjogren-like syndrome	skos:closeMatch	OMIM:248810	HumanCurated
MONDO:0008009	monilethrix	skos:closeMatch	OMIM:252200	HumanCurated
MONDO:0023563	Kotzot-Richter syndrome	skos:closeMatch	OMIM:203285	HumanCurated
MONDO:0013914	hypogonadotropic hypogonadism 12 with or without anosmia	skos:closeMatch	OMIM:227200	HumanCurated
MONDO:0023288	green sandford davison syndrome	skos:closeMatch	OMIM:601446	HumanCurated
MONDO:0007880	congenital laryngeal web	skos:closeMatch	OMIM:185400	HumanCurated
MONDO:0019678	brachydactyly type A5	skos:closeMatch	OMIM:112900	HumanCurated
MONDO:0009993	embryonal rhabdomyosarcoma	skos:closeMatch	OMIM:180295	HumanCurated
MONDO:0022714	chester porphyria	skos:closeMatch	OMIM:176010	HumanCurated
MONDO:0022673	autosomal dominant non-nuclear cataract	skos:closeMatch	OMIM:601286	HumanCurated
MONDO:0009696	juvenile myoclonic epilepsy	skos:closeMatch	OMIM:606904	HumanCurated
MONDO:0019003	multiple endocrine neoplasia type 2	skos:closeMatch	OMIM:213799	HumanCurated
MONDO:0027416	obsolete retinal cone dystrophy 2	skos:closeMatch	OMIM:601251	HumanCurated
MONDO:0042975	pseudoachondroplastic dysplasia 2	skos:closeMatch	OMIM:264150	HumanCurated
MONDO:0015300	cataract - microcornea syndrome	skos:closeMatch	OMIM:116150	HumanCurated
MONDO:0015177	metaphyseal anadysplasia	skos:closeMatch	OMIM:309645	HumanCurated
MONDO:0005439	familial hypercholesterolemia	skos:closeMatch	OMIM:144400	HumanCurated
MONDO:0020989	hereditary persistence of fetal hemoglobin	skos:closeMatch	OMIM:142200	HumanCurated
MONDO:0020989	hereditary persistence of fetal hemoglobin	skos:closeMatch	OMIM:142250	HumanCurated
MONDO:0020989	hereditary persistence of fetal hemoglobin	skos:closeMatch	OMIM:141900	HumanCurated

