# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_closematch_orphanet.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-04-07/mappings/mondo_closematch_orphanet.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type	subject_label
MONDO:0014550	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 15
MONDO:0014548	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 14
MONDO:0012737	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 10
MONDO:0012738	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 11
MONDO:0012736	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 9
MONDO:0013370	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 6
MONDO:0013372	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 5
MONDO:0013367	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 2
MONDO:0013279	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 13
MONDO:0013062	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 12
MONDO:0021013	skos:closeMatch	Orphanet:75790	HumanCurated	trichothiodystrophy 4, nonphotosensitive
MONDO:0011377	skos:closeMatch	Orphanet:101016	HumanCurated	long QT syndrome 3
MONDO:0009968	skos:closeMatch	Orphanet:93611	HumanCurated	renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss
MONDO:0010958	skos:closeMatch	Orphanet:101016	HumanCurated	cardiac arrhythmia, ankyrin-B-related

