# curie_map:
#   MESH: http://identifiers.org/mesh/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2020-01-01'
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/release/v2021-09-03/mappings/mondo_closematch_mesh.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	match_type
MONDO:0002974	cervical cancer	skos:closeMatch	MESH:D002583	HumanCurated
MONDO:0002928	carcinosarcoma	skos:closeMatch	MESH:D018200	HumanCurated
MONDO:0002928	carcinosarcoma	skos:closeMatch	MESH:D018199	HumanCurated
MONDO:0002901	blood group incompatibility	skos:closeMatch	MESH:D001787	HumanCurated
MONDO:0000380	paranasal sinus carcinoma	skos:closeMatch	MESH:D010255	HumanCurated
MONDO:0000233	Japanese spotted fever	skos:closeMatch	MESH:D000073605	HumanCurated
MONDO:0002869	heart valve disease	skos:closeMatch	MESH:D016127	HumanCurated
MONDO:0002889	orbital cancer	skos:closeMatch	MESH:D009918	HumanCurated
MONDO:0002805	hidradenoma	skos:closeMatch	MESH:D006607	HumanCurated
MONDO:0012155	choanal atresia	skos:closeMatch	MESH:C562435	HumanCurated
MONDO:0002615	xanthomatosis	skos:closeMatch	MESH:D014973	HumanCurated
MONDO:0002658	iris cancer	skos:closeMatch	MESH:D015811	HumanCurated
MONDO:0002659	uveal cancer	skos:closeMatch	MESH:D014604	HumanCurated
MONDO:0014624	Brown syndrome	skos:closeMatch	MESH:D015835	HumanCurated
MONDO:0002691	liver cancer	skos:closeMatch	MESH:D008113	HumanCurated
MONDO:0012004	parathyroid gland carcinoma	skos:closeMatch	MESH:D010282	HumanCurated
MONDO:0002681	choroid plexus cancer	skos:closeMatch	MESH:D016545	HumanCurated
MONDO:0002546	schwannoma	skos:closeMatch	MESH:D009442	HumanCurated
