# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2020-01-01'
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/release/v2021-09-03/mappings/mondo_closematch_doid.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	match_type
MONDO:0024388	Clostridium infectious disease	skos:closeMatch	DOID:3584	HumanCurated
MONDO:0000238	pestis minor	skos:closeMatch	DOID:0050068	HumanCurated
MONDO:0000241	Keshan disease	skos:closeMatch	DOID:10545	HumanCurated
MONDO:0000989	mumps infectious disease	skos:closeMatch	DOID:10304	HumanCurated
MONDO:0000889	haemophilus meningitis	skos:closeMatch	DOID:10803	HumanCurated
MONDO:0018059	meningococcal meningitis	skos:closeMatch	DOID:9929	HumanCurated
MONDO:0006013	visna disease	skos:closeMatch	DOID:4318	HumanCurated
MONDO:0006010	salmonid viral hemorrhagic septicemia	skos:closeMatch	DOID:3568	HumanCurated
MONDO:0021641	Bunyaviridae infectious disease	skos:closeMatch	DOID:1332	HumanCurated
MONDO:0021697	chlamydia infectious disease	skos:closeMatch	DOID:11264	HumanCurated
MONDO:0008458	spinocerebellar ataxia type 2	skos:closeMatch	DOID:0060204	HumanCurated
MONDO:0100347	carcinoid syndrome	skos:closeMatch	DOID:8600	HumanCurated
MONDO:0006901	peritoneal neoplasm	skos:closeMatch	DOID:4884	HumanCurated
MONDO:0006992	syphilitic aortitis	skos:closeMatch	DOID:11582	HumanCurated
MONDO:0006929	Proteus infectious disease	skos:closeMatch	DOID:3881	HumanCurated
MONDO:0006927	Rickettsiaceae infectious disease	skos:closeMatch	DOID:11099	HumanCurated
MONDO:0006944	renal aminoaciduria	skos:closeMatch	DOID:1061	HumanCurated
MONDO:0006941	rat-bite fever	skos:closeMatch	DOID:12097	HumanCurated
MONDO:0018912	Cushing syndrome	skos:closeMatch	DOID:12252	HumanCurated
MONDO:0006913	pneumococcal meningitis	skos:closeMatch	DOID:11575	HumanCurated
MONDO:0006909	pituitary dwarfism	skos:closeMatch	DOID:9405	HumanCurated
MONDO:0006905	pigmented spindle cell nevus	skos:closeMatch	DOID:3239	HumanCurated
MONDO:0006925	Fusobacteriaceae infectious disease	skos:closeMatch	DOID:563	HumanCurated
MONDO:0006926	haemophilus infectious disease	skos:closeMatch	DOID:10529	HumanCurated
MONDO:0006923	Bacillaceae infectious disease	skos:closeMatch	DOID:1938	HumanCurated
MONDO:0006924	Bartonellaceae infectious disease	skos:closeMatch	DOID:2809	HumanCurated
MONDO:0006921	Actinomycetales infectious disease	skos:closeMatch	DOID:2313	HumanCurated
MONDO:0006922	Anaplasmataceae infectious disease	skos:closeMatch	DOID:4351	HumanCurated
MONDO:0006919	potassium deficiency	skos:closeMatch	DOID:13582	HumanCurated
MONDO:0006973	skin appendage carcinoma	skos:closeMatch	DOID:4684	HumanCurated
MONDO:0006956	Rickettsiosis	skos:closeMatch	DOID:1709	HumanCurated
MONDO:0006955	rheumatic heart disease	skos:closeMatch	DOID:9814	HumanCurated
MONDO:0006967	obsolete septic abortion	skos:closeMatch	DOID:2910	HumanCurated
MONDO:0006893	Pasteurella hemorrhagic septicemia	skos:closeMatch	DOID:11056	HumanCurated
MONDO:0006878	Moraxellaceae infectious disease	skos:closeMatch	DOID:3092	HumanCurated
MONDO:0006876	ocular tuberculosis	skos:closeMatch	DOID:233	HumanCurated
MONDO:0004225	monoclonal gammopathy of uncertain significance	skos:closeMatch	DOID:3404	HumanCurated
MONDO:0006813	intradermal nevus	skos:closeMatch	DOID:2424	HumanCurated
MONDO:0006824	Krebs 2 carcinoma	skos:closeMatch	DOID:4711	HumanCurated
MONDO:0006859	mucinous cystadenoma	skos:closeMatch	DOID:2633	HumanCurated
MONDO:0006856	mesothelial neoplasm	skos:closeMatch	DOID:159	HumanCurated
MONDO:0006838	lupus vulgaris	skos:closeMatch	DOID:5380	HumanCurated
MONDO:0006829	leukemoid reaction	skos:closeMatch	DOID:3166	HumanCurated
MONDO:0006847	malignant lymphatic vessel tumor	skos:closeMatch	DOID:1744	HumanCurated
MONDO:0006844	magnesium deficiency	skos:closeMatch	DOID:13581	HumanCurated
MONDO:0006845	male genital tuberculosis	skos:closeMatch	DOID:8024	HumanCurated
MONDO:0006842	lymphangiomyoma	skos:closeMatch	DOID:2642	HumanCurated
MONDO:0006840	lymphangiectasis	skos:closeMatch	DOID:2402	HumanCurated
MONDO:0006841	lymphangioendothelioma	skos:closeMatch	DOID:3340	HumanCurated
MONDO:0006778	halo nevus	skos:closeMatch	DOID:2423	HumanCurated
