# curie_map:
#   ICDO: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/ICDO/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_hasdbxref_icdo.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2024-08-06/mappings/mondo_hasdbxref_icdo.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
MONDO:0000377	malignant Leydig cell tumor	oboInOwl:hasDbXref	ICDO:8650/3	semapv:ManualMappingCuration
MONDO:0000378	malignant Sertoli cell tumor	oboInOwl:hasDbXref	ICDO:8630/3	semapv:ManualMappingCuration
MONDO:0000378	malignant Sertoli cell tumor	oboInOwl:hasDbXref	ICDO:8640/3	semapv:ManualMappingCuration
MONDO:0000402	small cell carcinoma	oboInOwl:hasDbXref	ICDO:8041/3	semapv:ManualMappingCuration
MONDO:0000402	small cell carcinoma	oboInOwl:hasDbXref	ICDO:8042/3	semapv:ManualMappingCuration
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	oboInOwl:hasDbXref	ICDO:9702/3	semapv:ManualMappingCuration
MONDO:0000432	lymphoplasmacytic lymphoma	oboInOwl:hasDbXref	ICDO:9671/3	semapv:ManualMappingCuration
MONDO:0000432	lymphoplasmacytic lymphoma	oboInOwl:hasDbXref	ICDO:9761/3	semapv:ManualMappingCuration
MONDO:0000448	paraganglioma	oboInOwl:hasDbXref	ICDO:8680/1	semapv:ManualMappingCuration
MONDO:0000502	villous adenoma	oboInOwl:hasDbXref	ICDO:8261/0	semapv:ManualMappingCuration
MONDO:0000552	breast lobular carcinoma	oboInOwl:hasDbXref	ICDO:8520/3	semapv:ManualMappingCuration
MONDO:0000607	primary cutaneous T-cell non-Hodgkin lymphoma	oboInOwl:hasDbXref	ICDO:9709/3	semapv:ManualMappingCuration
MONDO:0000873	lymphoblastic lymphoma	oboInOwl:hasDbXref	ICDO:9727/3	semapv:ManualMappingCuration
MONDO:0000893	mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma	oboInOwl:hasDbXref	ICDO:8254/3	semapv:ManualMappingCuration
MONDO:0000929	balloon cell malignant melanoma	oboInOwl:hasDbXref	ICDO:8722/3	semapv:ManualMappingCuration
MONDO:0000930	nodular malignant melanoma	oboInOwl:hasDbXref	ICDO:8721/3	semapv:ManualMappingCuration
MONDO:0000962	spindle cell lipoma	oboInOwl:hasDbXref	ICDO:8857/0	semapv:ManualMappingCuration
MONDO:0000966	pleomorphic lipoma	oboInOwl:hasDbXref	ICDO:8854/0	semapv:ManualMappingCuration
MONDO:0000977	chondroid lipoma	oboInOwl:hasDbXref	ICDO:8862/0	semapv:ManualMappingCuration
MONDO:0001023	prolymphocytic leukemia	oboInOwl:hasDbXref	ICDO:9832/3	semapv:ManualMappingCuration
MONDO:0001256	arteriovenous hemangioma/malformation	oboInOwl:hasDbXref	ICDO:9123/0	semapv:ManualMappingCuration
MONDO:0001572	leiomyoma	oboInOwl:hasDbXref	ICDO:8890/0	semapv:ManualMappingCuration
MONDO:0001783	endometrial stromal nodule	oboInOwl:hasDbXref	ICDO:8930/0	semapv:ManualMappingCuration
MONDO:0001825	squamous papilloma	oboInOwl:hasDbXref	ICDO:8052/0	semapv:ManualMappingCuration
MONDO:0002013	lymphangioma	oboInOwl:hasDbXref	ICDO:9170/0	semapv:ManualMappingCuration
MONDO:0002056	breast fibroadenoma	oboInOwl:hasDbXref	ICDO:9010/0	semapv:ManualMappingCuration
MONDO:0002060	intraductal papilloma	oboInOwl:hasDbXref	ICDO:8503/0	semapv:ManualMappingCuration
MONDO:0002066	breast adenomyoepithelioma	oboInOwl:hasDbXref	ICDO:8983/0	semapv:ManualMappingCuration
MONDO:0002072	melanotic neuroectodermal tumor	oboInOwl:hasDbXref	ICDO:9363/0	semapv:ManualMappingCuration
MONDO:0002110	adrenal rest tumor	oboInOwl:hasDbXref	ICDO:8671/0	semapv:ManualMappingCuration
MONDO:0002119	ossifying fibroma	oboInOwl:hasDbXref	ICDO:9262/0	semapv:ManualMappingCuration
MONDO:0002119	ossifying fibroma	oboInOwl:hasDbXref	ICDO:9274/0	semapv:ManualMappingCuration
MONDO:0002120	neuroendocrine carcinoma	oboInOwl:hasDbXref	ICDO:8246/3	semapv:ManualMappingCuration
MONDO:0002142	undifferentiated pleomorphic sarcoma	oboInOwl:hasDbXref	ICDO:8830/3	semapv:ManualMappingCuration
MONDO:0002173	neuroma	oboInOwl:hasDbXref	ICDO:9570/0	semapv:ManualMappingCuration
MONDO:0002189	nodular hidradenoma	oboInOwl:hasDbXref	ICDO:8402/0	semapv:ManualMappingCuration
