# comment: The latest OMIM is integrated with every Mondo release.
# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   OMIM: https://omim.org/entry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2022-02-11'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_broadmatch_omim.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-04-12/mappings/mondo_broadmatch_omim.sssom.tsv
# object_source: https://www.omim.org/
# object_source_version: http://www.orphadata.org/data/ORDO/ordo_orphanet_3.1.owl
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	match_type
MONDO:0008264	autosomal dominant medullary cystic kidney disease with or without hyperuricemia	skos:broadMatch	OMIM:603860	HumanCurated
MONDO:0008264	autosomal dominant medullary cystic kidney disease with or without hyperuricemia	skos:broadMatch	OMIM:609886	HumanCurated
MONDO:0008947	bilateral striopallidodentate calcinosis	skos:broadMatch	OMIM:606656	HumanCurated
MONDO:0015254	schistosomiasis	skos:broadMatch	OMIM:181460	HumanCurated
MONDO:0016006	Cockayne syndrome	skos:broadMatch	OMIM:216411	HumanCurated
MONDO:0016672	hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	skos:broadMatch	OMIM:141749	HumanCurated
MONDO:0016672	hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	skos:broadMatch	OMIM:613566	HumanCurated
MONDO:0016672	hereditary persistence of fetal hemoglobin-sickle cell disease syndrome	skos:broadMatch	OMIM:142470	HumanCurated
MONDO:0018214	generalized epilepsy with febrile seizures plus	skos:broadMatch	OMIM:611277	HumanCurated
MONDO:0018749	hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	skos:broadMatch	OMIM:142470	HumanCurated
MONDO:0018749	hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	skos:broadMatch	OMIM:141749	HumanCurated
MONDO:0018749	hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	skos:broadMatch	OMIM:613566	HumanCurated
MONDO:0019111	familial thrombocytosis	skos:broadMatch	OMIM:300331	HumanCurated
MONDO:0019409	idiopathic juvenile osteoporosis	skos:broadMatch	OMIM:615221	HumanCurated
MONDO:0019508	van der Woude syndrome	skos:broadMatch	OMIM:604547	HumanCurated

