subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_set_id	mapping_set_title	mapping_set_confidence	confidence	comment
mondo:0004496	myocarditis	skos:exactMatch	icd10:I51.4	Myocarditis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0004496 icd11:1018829714 icd10:I51.4
mondo:0024318	viral infection of central nervous system	skos:exactMatch	icd11:1104303944	Viral infections of the central nervous system	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0024318 icd10:A80-A89 icd11:1104303944
mondo:0002028	personality disorder	skos:exactMatch	icd10:F60.9	Personality disorder, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0002028 icd11:941859884 icd10:F60.9
mondo:0002471	bursitis	skos:exactMatch	icd10:M71	Other bursopathies	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:M71 icd11:1984620329 mondo:0002471
mondo:0006651	anterior uveitis	skos:exactMatch	icd10:H20.8	Other iridocyclitis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:H20.8 icd11:908233081 mondo:0006651
mondo:0001155	gastrojejunal ulcer	skos:exactMatch	icd11:958574481	Anastomotic ulcer	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0001155 icd10:K28 icd11:958574481
mondo:0005066	metabolic disease	skos:exactMatch	icd11:155258022	Metabolic disorders	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005066 icd10:E70-E90 icd11:155258022
mondo:0005041	glaucoma	skos:exactMatch	icd11:551713432	Glaucoma or glaucoma suspect	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:551713432 icd10:H40 mondo:0005041
mondo:0005090	schizophrenia	skos:exactMatch	icd10:F20.9	Schizophrenia, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005090 icd11:1683919430 icd10:F20.9
mondo:0001618	balanoposthitis	skos:exactMatch	icd10:N48.1	Balanoposthitis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:N48.1 icd11:1742248014 mondo:0001618
mondo:0006672	balanitis	skos:exactMatch	icd11:1742248014		semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:1742248014 icd10:N48.1 mondo:0006672
mondo:0001889	ovarian dysfunction	skos:exactMatch	icd10:E28.9	Ovarian dysfunction, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:E28.9 icd11:1801368748 mondo:0001889
mondo:0005246	osteomyelitis	skos:exactMatch	icd11:2058491071	Osteomyelitis or osteitis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:2058491071 icd10:M86 mondo:0005246
