# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   MedDRA: http://identifiers.org/meddra/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_exactmatch_meddra.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-12-01/mappings/mondo_exactmatch_meddra.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
MONDO:0000447	autosomal dominant polycystic liver disease	skos:exactMatch	MedDRA:10083939	semapv:ManualMappingCuration
MONDO:0001117	methemoglobinemia	skos:exactMatch	MedDRA:10027496	semapv:ManualMappingCuration
MONDO:0005149	pulmonary hypertension	skos:exactMatch	MedDRA:10037400	semapv:ManualMappingCuration
MONDO:0009958	adult Refsum disease	skos:exactMatch	MedDRA:10038275	semapv:ManualMappingCuration
MONDO:0015346	Jeavons syndrome	skos:exactMatch	MedDRA:10084303	semapv:ManualMappingCuration
MONDO:0018109	fulminant viral hepatitis	skos:exactMatch	MedDRA:10019772	semapv:ManualMappingCuration
MONDO:0021084	vision disorder	skos:exactMatch	MedDRA:10047518	semapv:ManualMappingCuration
MONDO:0021553	transverse myelitis	skos:exactMatch	MedDRA:10028527	semapv:ManualMappingCuration
MONDO:0044210	thalassemia minor	skos:exactMatch	MedDRA:10054662	semapv:ManualMappingCuration
MONDO:0100053	anaphylaxis	skos:exactMatch	MedDRA:10002198	semapv:ManualMappingCuration
MONDO:0100114	dry age related macular degeneration	skos:exactMatch	MedDRA:10075567	semapv:ManualMappingCuration
MONDO:0700092	neurodevelopmental disorder	skos:exactMatch	MedDRA:C1535926	semapv:ManualMappingCuration

